t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	t_n436	t_n437	t_n438	t_n439	t_n440	t_n441	t_n442	t_n443	t_n444	t_n445	t_n446	t_n447	t_n448	t_n449	t_n450	t_n451	t_n452	t_n453	t_n454	t_n455	t_n456	t_n457	t_n458	t_n459	t_n460	t_n461	t_n462	t_n463	t_n464	t_n465	t_n466	t_n467	t_n468	t_n469	t_n470	t_n471	t_n472	t_n473	t_n474	t_n475	t_n476	t_n477	t_n478	t_n479	t_n480	t_n481
run1	4.5189022	4.5086309	4.4776432	4.4239002	4.1819191	3.5235127	4.3474854	4.2520789	4.1263138	3.9824344	3.634938	3.1344352	2.359178	3.7844294	3.5286121	3.1635493	2.6389669	1.9288674	3.3557442	2.6341781	4.0539612	3.3984528	1.9379424	1.8667197	1.7493069	1.5334418	1.1617629	0.6092066	0.5903358	0.5615216	1.6463356	1.8958557	1.8471118	1.7781025	1.6581738	1.486964	0.5155522	0.2471585	1.264391	0.9293505	1.6843607	1.4287727	1.7440686	1.5085767	0.943264	1.4983609	1.7099337	3.0686466	2.3981601	3.7638595	3.3417681	2.8309995	2.07181	4.3595197	4.0046063	2.8811355	2.8410058	4.4854719	4.4175148	4.1644742	4.282293	4.0356082	3.4597248	3.3166324	3.093747	1.7781025	1.486964	0.5155522	0.2471585	1.264391	0.9293505	1.6843607	1.4627327	0.943264	1.425798	2.7942896	2.3616776	1.7308425	2.1881717	3.7965535	4.451029	4.3667135	4.1928376	1.8667197	1.7493069	1.5334418	0.6092066	0.5903358	1.6463356	1.7781025	1.486964	0.5155522	0.2471585	1.264391	0.9293505	4.1193838	3.1773446	3.3340781	2.5375513	4.3981994	4.3032582	4.1797548	4.0196051	3.2923103	2.5709555	3.8228078	3.5809637	2.938303	3.2851391	2.6180377	2.872222	2.3789062	1.6958214	3.2447623	3.8595092	3.2710196	1.8680986	4.5086309	4.4854719	4.451029	4.3981994	4.3071222	4.1611324	3.9323091	3.5827744	3.1017334	2.322726	1.8680986	3.2923103	2.5709555	3.8596059	3.3625011	2.5384917	4.0792331	3.7335708	3.1734994	2.3475843	4.1631566	3.4777733	4.3667135	4.1928376	3.8746965	1.8667197	1.7493069	1.5334418	1.1617629	0.6092066	0.5903358	0.5615216	1.6463356	3.348109	1.7781025	1.486964	0.5155522	0.2471585	1.264391	0.9293505	1.6843607	1.4278906	0.943264	3.7474022	1.7099337	1.4983609	4.1062309	3.1773446	3.3340781	2.5375513	4.4175148	4.1644742	3.4604846	4.282293	4.0356082	3.4597248	3.3166324	3.093747	1.7781025	1.486964	1.264391	0.9293505	0.5155522	1.6843607	1.4946317	1.174575	2.7942896	2.3616776	1.7308425	3.7965535	4.4776432	4.4239002	4.1819191	3.5235127	4.3474854	4.2520789	4.1263138	3.9824344	3.7844294	3.5286121	3.0666808	2.3672018	3.3557442	2.6341781	3.634938	3.1344352	2.359178	4.0539612	3.3984528	1.9379424	1.8667197	1.7493069	1.5334418	0.6092066	0.5903358	0.5615216	1.6463356	1.8958557	1.8471118	1.7781025	1.6581738	1.486964	0.5155522	0.2471585	1.264391	0.9293505	1.6843607	1.4287727	1.7440686	1.5085767	0.943264	1.4983609	1.7099337	3.0686466	2.3981601	3.7638595	3.3417681	2.8309995	2.07181	4.3595197	4.0123719	2.8811355	2.8410058
run2	4.5187963	4.5085728	4.4765982	4.4226528	4.1772523	3.5174164	4.3466122	4.2511009	4.1187849	3.9794505	3.6504845	3.159825	2.3794603	3.7929504	3.5289825	3.1245063	2.6146818	1.908095	3.3444574	2.6224764	4.0527649	3.395037	1.9415253	1.8696228	1.7441133	1.5332075	1.167784	0.6091304	0.5903191	0.5614212	1.6594211	1.898222	1.8487714	1.7817462	1.6610252	1.4934866	0.5154597	0.2470172	1.2567861	0.9348145	1.6924501	1.4337452	1.744388	1.5167683	0.9500887	1.497326	1.7046542	3.0553662	2.3926708	3.7739395	3.3706221	2.8340821	2.0656648	4.3537396	4.0072244	2.8764059	2.865461	4.487017	4.4191158	4.1637009	4.2876944	4.0471903	3.4593238	3.3204094	3.078383	1.7817462	1.4934866	0.5154597	0.2470172	1.2567861	0.9348145	1.6924501	1.4779973	0.9500887	1.4251548	2.7926501	2.3587125	1.7511099	2.2057707	3.7930537	4.451441	4.3659641	4.1930571	1.8696228	1.7441133	1.5332075	0.6091304	0.5903191	1.6594211	1.7817462	1.4934866	0.5154597	0.2470172	1.2567861	0.9348145	4.1079898	3.1910901	3.3706014	2.5464211	4.4020876	4.3081381	4.1866611	4.0273642	3.293808	2.592298	3.8301065	3.5864446	2.9462305	3.2786883	2.6285426	2.8862785	2.3714292	1.7095326	3.2259572	3.8636029	3.2645	1.8811965	4.5085728	4.487017	4.451441	4.4020876	4.3057246	4.1591261	3.9185091	3.5681909	3.0769548	2.3452702	1.8811965	3.293808	2.592298	3.8487562	3.334501	2.54243	4.0836465	3.7252292	3.1801178	2.3698139	4.1632744	3.5060125	4.3659641	4.1930571	3.8795583	1.8696228	1.7441133	1.5332075	1.167784	0.6091304	0.5903191	0.5614212	1.6594211	3.3346268	1.7817462	1.4934866	0.5154597	0.2470172	1.2567861	0.9348145	1.6924501	1.4246605	0.9500887	3.7319675	1.7046542	1.497326	4.1088545	3.1910901	3.3706014	2.5464211	4.4191158	4.1637009	3.4352558	4.2876944	4.0471903	3.4593238	3.3204094	3.078383	1.7817462	1.4934866	1.2567861	0.9348145	0.5154597	1.6924501	1.4969318	1.1743841	2.7926501	2.3587125	1.7511099	3.7930537	4.4765982	4.4226528	4.1772523	3.5174164	4.3466122	4.2511009	4.1187849	3.9794505	3.7929504	3.5289825	3.044992	2.324265	3.3444574	2.6224764	3.6504845	3.159825	2.3794603	4.0527649	3.395037	1.9415253	1.8696228	1.7441133	1.5332075	0.6091304	0.5903191	0.5614212	1.6594211	1.898222	1.8487714	1.7817462	1.6610252	1.4934866	0.5154597	0.2470172	1.2567861	0.9348145	1.6924501	1.4337452	1.744388	1.5167683	0.9500887	1.497326	1.7046542	3.0553662	2.3926708	3.7739395	3.3706221	2.8340821	2.0656648	4.3537396	4.0003085	2.8764059	2.865461
run3	4.5187873	4.5079539	4.4749628	4.4221019	4.1873529	3.4926492	4.3465787	4.2554866	4.1239889	3.9782188	3.6499986	3.1470879	2.3821937	3.7925422	3.5243034	3.1238436	2.6295929	1.9143701	3.3526403	2.6092216	4.0626494	3.4000656	1.9417718	1.8683332	1.7411753	1.5295902	1.1855892	0.6091392	0.5903563	0.5604322	1.6608691	1.8976145	1.8520533	1.7825966	1.6607303	1.4966062	0.5154419	0.2471685	1.2596302	0.9463391	1.6960639	1.4287046	1.7433978	1.5169379	0.9407132	1.4910509	1.7008002	3.0552607	2.4062671	3.7687304	3.3642175	2.8086232	2.060722	4.3583003	4.0139735	2.8746768	2.8879771	4.4857782	4.4163729	4.1610269	4.2812949	4.0411244	3.4562821	3.313827	3.0838347	1.7825966	1.4966062	0.5154419	0.2471685	1.2596302	0.9463391	1.6960639	1.4670836	0.9407132	1.4326829	2.792378	2.3556379	1.7557427	2.1740957	3.80373	4.4496954	4.3628904	4.1828075	1.8683332	1.7411753	1.5295902	0.6091392	0.5903563	1.6608691	1.7825966	1.4966062	0.5154419	0.2471685	1.2596302	0.9463391	4.1042884	3.1535747	3.3787293	2.5239474	4.396996	4.3044584	4.1800281	4.0207864	3.3119334	2.604509	3.8214636	3.5894595	2.9672238	3.2821929	2.6075142	2.8835097	2.3677405	1.7225547	3.2383913	3.8670745	3.284353	1.8989305	4.5079539	4.4857782	4.4496954	4.396996	4.3017113	4.1555068	3.9265268	3.5729798	3.0727488	2.3394069	1.8989305	3.3119334	2.604509	3.8532098	3.3517939	2.5280527	4.0796178	3.708153	3.1474488	2.3400789	4.1608514	3.4921316	4.3628904	4.1828075	3.8709905	1.8683332	1.7411753	1.5295902	1.1855892	0.6091392	0.5903563	0.5604322	1.6608691	3.3166248	1.7825966	1.4966062	0.5154419	0.2471685	1.2596302	0.9463391	1.6960639	1.4225606	0.9407132	3.7204385	1.7008002	1.4910509	4.104001	3.1535747	3.3787293	2.5239474	4.4163729	4.1610269	3.4529272	4.2812949	4.0411244	3.4562821	3.313827	3.0838347	1.7825966	1.4966062	1.2596302	0.9463391	0.5154419	1.6960639	1.4883326	1.1598752	2.792378	2.3556379	1.7557427	3.80373	4.4749628	4.4221019	4.1873529	3.4926492	4.3465787	4.2554866	4.1239889	3.9782188	3.7925422	3.5243034	3.0598593	2.3364363	3.3526403	2.6092216	3.6499986	3.1470879	2.3821937	4.0626494	3.4000656	1.9417718	1.8683332	1.7411753	1.5295902	0.6091392	0.5903563	0.5604322	1.6608691	1.8976145	1.8520533	1.7825966	1.6607303	1.4966062	0.5154419	0.2471685	1.2596302	0.9463391	1.6960639	1.4287046	1.7433978	1.5169379	0.9407132	1.4910509	1.7008002	3.0552607	2.4062671	3.7687304	3.3642175	2.8086232	2.060722	4.3583003	4.013744	2.8746768	2.8879771
run4	4.5187477	4.508002	4.4762772	4.423098	4.1812243	3.4842422	4.3493294	4.2559022	4.1293875	3.9763295	3.6302829	3.1571503	2.3977418	3.7843656	3.5215952	3.1305672	2.6240151	1.93922	3.340086	2.6359647	4.0527776	3.3987403	1.9406829	1.8684034	1.7434553	1.5206918	1.1675571	0.6090904	0.5904074	0.5596712	1.6512784	1.8959728	1.8474898	1.7777071	1.6559845	1.4939601	0.5154568	0.2471295	1.2631114	0.9300333	1.6854338	1.4149026	1.7400362	1.5122418	0.9493027	1.4939338	1.7039924	3.0689352	2.416378	3.7649445	3.3635338	2.8159376	2.0533968	4.3563045	3.9984307	2.8498932	2.8768983	4.4849426	4.4169613	4.1634549	4.2804054	4.0315324	3.456998	3.3156994	3.0821458	1.7777071	1.4939601	0.5154568	0.2471295	1.2631114	0.9300333	1.6854338	1.4672794	0.9493027	1.4200879	2.7831405	2.3393688	1.7477638	2.1727783	3.8235305	4.4500687	4.3600045	4.1896122	1.8684034	1.7434553	1.5206918	0.6090904	0.5904074	1.6512784	1.7777071	1.4939601	0.5154568	0.2471295	1.2631114	0.9300333	4.0953209	3.1601706	3.3532738	2.5151861	4.3962812	4.3041832	4.1806063	4.0195809	3.2944992	2.5846339	3.8267318	3.58557	2.9426299	3.2794924	2.5894827	2.8861325	2.378618	1.7177398	3.2495682	3.8755023	3.2754656	1.8857085	4.508002	4.4849426	4.4500687	4.3962812	4.3053566	4.1558575	3.923454	3.5797604	3.094154	2.3460983	1.8857085	3.2944992	2.5846339	3.8405744	3.3647178	2.5384748	4.0872485	3.7286325	3.1331765	2.3344959	4.1524004	3.4747344	4.3600045	4.1896122	3.8602865	1.8684034	1.7434553	1.5206918	1.1675571	0.6090904	0.5904074	0.5596712	1.6512784	3.3129885	1.7777071	1.4939601	0.5154568	0.2471295	1.2631114	0.9300333	1.6854338	1.4261915	0.9493027	3.7066813	1.7039924	1.4939338	4.1103753	3.1601706	3.3532738	2.5151861	4.4169613	4.1634549	3.4520389	4.2804054	4.0315324	3.456998	3.3156994	3.0821458	1.7777071	1.4939601	1.2631114	0.9300333	0.5154568	1.6854338	1.4980477	1.1778676	2.7831405	2.3393688	1.7477638	3.8235305	4.4762772	4.423098	4.1812243	3.4842422	4.3493294	4.2559022	4.1293875	3.9763295	3.7843656	3.5215952	3.0446498	2.3389844	3.340086	2.6359647	3.6302829	3.1571503	2.3977418	4.0527776	3.3987403	1.9406829	1.8684034	1.7434553	1.5206918	0.6090904	0.5904074	0.5596712	1.6512784	1.8959728	1.8474898	1.7777071	1.6559845	1.4939601	0.5154568	0.2471295	1.2631114	0.9300333	1.6854338	1.4149026	1.7400362	1.5122418	0.9493027	1.4939338	1.7039924	3.0689352	2.416378	3.7649445	3.3635338	2.8159376	2.0533968	4.3563045	3.9932195	2.8498932	2.8768983
run5	4.5188065	4.5086071	4.4776685	4.4232387	4.1767919	3.5121356	4.3478612	4.2565052	4.1280936	3.9809256	3.6385427	3.1335658	2.3897239	3.7869345	3.5344548	3.1340544	2.61769	1.9364661	3.3249155	2.619284	4.0563303	3.3946926	1.9411588	1.8710095	1.7440469	1.5359083	1.1762602	0.609164	0.5903936	0.5607105	1.6583026	1.8980484	1.8476078	1.781397	1.6657398	1.4918936	0.5155058	0.2470104	1.2584024	0.9358727	1.691172	1.4240768	1.7460441	1.5122663	0.9386151	1.4967136	1.6994334	3.0515055	2.375529	3.7684738	3.3613288	2.8145234	2.0602703	4.3537464	3.9917903	2.8610151	2.8747124	4.4868569	4.4163399	4.1565312	4.2799748	4.0388845	3.4582911	3.3168972	3.0790919	1.781397	1.4918936	0.5155058	0.2470104	1.2584024	0.9358727	1.691172	1.4651439	0.9386151	1.433335	2.7953783	2.3591361	1.726581	2.2012232	3.8099024	4.4508376	4.3632401	4.199923	1.8710095	1.7440469	1.5359083	0.609164	0.5903936	1.6583026	1.781397	1.4918936	0.5155058	0.2470104	1.2584024	0.9358727	4.1067896	3.159537	3.3410962	2.5338397	4.3971607	4.305915	4.1926255	4.025629	3.2928576	2.6000096	3.8363808	3.5909484	2.9413338	3.289806	2.6123228	2.8999261	2.394251	1.7274767	3.2439982	3.8743577	3.2787711	1.8872136	4.5086071	4.4868569	4.4508376	4.3971607	4.307844	4.1571804	3.9239277	3.575924	3.0856255	2.3419332	1.8872136	3.2928576	2.6000096	3.8460431	3.3165908	2.5688871	4.0902037	3.7116153	3.1753608	2.3328193	4.1596997	3.5033641	4.3632401	4.199923	3.8789928	1.8710095	1.7440469	1.5359083	1.1762602	0.609164	0.5903936	0.5607105	1.6583026	3.3239713	1.781397	1.4918936	0.5155058	0.2470104	1.2584024	0.9358727	1.691172	1.4229558	0.9386151	3.7379172	1.6994334	1.4967136	4.1057374	3.159537	3.3410962	2.5338397	4.4163399	4.1565312	3.4584814	4.2799748	4.0388845	3.4582911	3.3168972	3.0790919	1.781397	1.4918936	1.2584024	0.9358727	0.5155058	1.691172	1.5022535	1.1796884	2.7953783	2.3591361	1.726581	3.8099024	4.4776685	4.4232387	4.1767919	3.5121356	4.3478612	4.2565052	4.1280936	3.9809256	3.7869345	3.5344548	3.0450579	2.3671007	3.3249155	2.619284	3.6385427	3.1335658	2.3897239	4.0563303	3.3946926	1.9411588	1.8710095	1.7440469	1.5359083	0.609164	0.5903936	0.5607105	1.6583026	1.8980484	1.8476078	1.781397	1.6657398	1.4918936	0.5155058	0.2470104	1.2584024	0.9358727	1.691172	1.4240768	1.7460441	1.5122663	0.9386151	1.4967136	1.6994334	3.0515055	2.375529	3.7684738	3.3613288	2.8145234	2.0602703	4.3537464	3.986247	2.8610151	2.8747124
run6	4.5187297	4.5079781	4.47602	4.4218167	4.1901734	3.5119485	4.3473669	4.255362	4.1236204	3.972181	3.6485004	3.1402068	2.3942042	3.8018608	3.528471	3.1373965	2.6231509	1.9260532	3.3458411	2.6213333	4.0548965	3.4006189	1.940714	1.8710457	1.7488735	1.5316007	1.1779469	0.6091011	0.5902734	0.5612252	1.6469972	1.8958281	1.8520921	1.7803476	1.6609138	1.4894289	0.5153483	0.2471604	1.2557278	0.9237311	1.6901605	1.4272541	1.7411988	1.5078192	0.9351655	1.5046037	1.7009107	3.0563291	2.3972634	3.7557094	3.356158	2.8387465	2.0764155	4.3546724	3.9981559	2.8304644	2.8667952	4.4844777	4.4175885	4.1511211	4.2848218	4.0408255	3.4611163	3.3207839	3.0910858	1.7803476	1.4894289	0.5153483	0.2471604	1.2557278	0.9237311	1.6901605	1.4706267	0.9351655	1.430397	2.7904444	2.3526205	1.7425268	2.1904406	3.8247594	4.4493142	4.3606141	4.1898234	1.8710457	1.7488735	1.5316007	0.6091011	0.5902734	1.6469972	1.7803476	1.4894289	0.5153483	0.2471604	1.2557278	0.9237311	4.1039482	3.1674504	3.3436962	2.5328394	4.3988427	4.3033249	4.1879299	4.0161184	3.2935643	2.6170209	3.8257528	3.5913448	2.9341202	3.2845087	2.6151926	2.8607668	2.3626094	1.6922782	3.2396258	3.863777	3.2664996	1.9097065	4.5079781	4.4844777	4.4493142	4.3988427	4.3040155	4.1576366	3.9213897	3.5616488	3.0886478	2.317054	1.9097065	3.2935643	2.6170209	3.8465812	3.3389358	2.5295529	4.0835544	3.7208603	3.192129	2.3165583	4.1623892	3.4871786	4.3606141	4.1898234	3.8729273	1.8710457	1.7488735	1.5316007	1.1779469	0.6091011	0.5902734	0.5612252	1.6469972	3.3101498	1.7803476	1.4894289	0.5153483	0.2471604	1.2557278	0.9237311	1.6901605	1.4233221	0.9351655	3.727007	1.7009107	1.5046037	4.1101995	3.1674504	3.3436962	2.5328394	4.4175885	4.1511211	3.4411935	4.2848218	4.0408255	3.4611163	3.3207839	3.0910858	1.7803476	1.4894289	1.2557278	0.9237311	0.5153483	1.6901605	1.4948049	1.1732052	2.7904444	2.3526205	1.7425268	3.8247594	4.47602	4.4218167	4.1901734	3.5119485	4.3473669	4.255362	4.1236204	3.972181	3.8018608	3.528471	3.0391263	2.3458243	3.3458411	2.6213333	3.6485004	3.1402068	2.3942042	4.0548965	3.4006189	1.940714	1.8710457	1.7488735	1.5316007	0.6091011	0.5902734	0.5612252	1.6469972	1.8958281	1.8520921	1.7803476	1.6609138	1.4894289	0.5153483	0.2471604	1.2557278	0.9237311	1.6901605	1.4272541	1.7411988	1.5078192	0.9351655	1.5046037	1.7009107	3.0563291	2.3972634	3.7557094	3.356158	2.8387465	2.0764155	4.3546724	3.9938597	2.8304644	2.8667952
