t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	t_n436	t_n437	t_n438	t_n439	t_n440	t_n441	t_n442	t_n443	t_n444	t_n445	t_n446	t_n447	t_n448	t_n449	t_n450	t_n451	t_n452	t_n453	t_n454	t_n455	t_n456	t_n457	t_n458	t_n459	t_n460	t_n461	t_n462	t_n463	t_n464	t_n465	t_n466	t_n467	t_n468	t_n469	t_n470	t_n471	t_n472	t_n473	t_n474	t_n475	t_n476	t_n477	t_n478	t_n479	t_n480	t_n481	t_n482	t_n483	t_n484	t_n485	t_n486	t_n487	t_n488	t_n489	t_n490	t_n491
run1	4.3466374	4.2632527	3.9336679	3.6533722	0.6566987	0.0532152	3.397491	3.1678066	2.7534182	2.4017003	0.9225276	0.3039423	0.0275551	1.9625567	1.4071803	0.6616671	0.2228488	0.0211002	0.442508000000001	0.0359777	2.4927059	1.891604	1.6319254	0.9927406	0.6662778	0.4233527	0.0204272	0.5758159	0.561784	0.0137474	0.0376747000000001	1.4702022	1.3312972	1.1508819	0.7045804	0.5122506	0.4324961	0.1280582	0.1333488	0.0107389	0.8743214	0.0316073	0.7849836	0.1698123	0.0106619	0.5378128	0.0399598	0.4031612	0.0343000000000001	1.2608999	0.6337952	0.2172196	0.0226599	2.0538438	0.7869686	0.0441739	0.0409749000000001	4.128638	3.4937695	0.6487246	3.1651177	2.975135	2.2360282	1.8239161	1.5247028	1.1508819	0.5122506	0.4324961	0.1280582	0.1333488	0.0107389	0.8743214	0.1620835	0.0106619	0.0322102	0.8315167	0.2413883	0.0207387	0.0395958	0.0967542	3.960957	3.2081262	2.4312581	0.9927406	0.6662778	0.4233527	0.5758159	0.561784	0.0137474	0.0376747000000001	1.4465278	1.1508819	0.5122506	0.4324961	0.1280582	0.1333488	0.0107389	0.8743214	0.0528677	1.3232161	0.0530321000000001	0.3465818	0.0283485000000001	3.728558	3.2077456	2.8187714	2.3926042	0.4344249	0.0347088	1.9438664	1.4975906	0.0620466000000001	1.0194156	0.0471054	0.507581	0.1807449	0.0169434	0.0771978000000002	0.940316000000001	0.2868861	0.0225701	4.2632527	4.128638	3.960957	3.728558	3.1707659	2.5728764	1.8479147	1.0010759	0.4730273	0.034475	0.0225701	0.4344249	0.0347088	0.9972781	0.3252455	0.0283575	1.5139693	0.7293128	0.2600346	0.0240393	0.6437167	0.0540681	3.2081262	2.4312581	1.8417666	0.9927406	0.6662778	0.4233527	0.0204272	0.5758159	0.561784	0.0137474	0.0376747000000001	1.4465278	1.1508819	0.5122506	0.4324961	0.1280582	0.1333488	0.0107389	0.8743214	0.0294531	0.0106619	0.9268156	0.0399598	0.5378128	1.303033	0.0530321000000001	0.3465818	0.0283485000000001	3.4937695	0.6487246	0.0520648	3.1651177	2.975135	2.2360282	1.8239161	1.5247028	1.1508819	0.5122506	0.1333488	0.0107389	0.4324961	0.8743214	0.2031523	0.0154515	0.8315167	0.2413883	0.0207387	0.0967542	3.9336679	3.6533722	0.6566987	0.0532152	3.397491	3.1678066	2.7534182	2.4017003	1.9625567	1.4071803	0.3671232	0.0308698000000001	0.442508000000001	0.0359777	0.9225276	0.3039423	0.0275551	2.4927059	1.891604	1.6319254	0.9927406	0.6662778	0.4233527	0.0204272	0.5758159	0.561784	0.0137474	0.0376747000000001	1.4702022	1.3312972	1.1508819	0.7045804	0.5122506	0.4324961	0.1280582	0.1333488	0.0107389	0.8743214	0.0316073	0.7849836	0.1698123	0.0106619	0.5378128	0.0399598	0.4031612	0.0343000000000001	1.2608999	0.6337952	0.2172196	0.0226599	2.0538438	0.7784356	0.0441739	0.0409749000000001
run2	4.3471562	4.2648747	3.9371173	3.6553944	0.6466021	0.0502424000000001	3.4000383	3.1781622	2.7524123	2.4132521	0.9416498	0.3077164	0.0281394000000001	1.9559879	1.4103072	0.6353693	0.2200906	0.0205242	0.439652	0.0356879	2.4878858	1.8880609	1.6388934	0.9888966	0.6700398	0.4245936	0.0191144	0.5758917	0.5618009	0.0156829	0.0362633	1.4729155	1.3281366	1.1511973	0.7077619	0.5128419	0.4327855	0.128283	0.1394616	0.0113558	0.8690432	0.0313009	0.7917513	0.1644193	0.0106495	0.5386315	0.0399611000000001	0.4074846	0.0337949	1.2875784	0.6535693	0.2299108	0.0220724	2.0331978	0.7873411	0.0437045000000001	0.0418351	4.1315072	3.505213	0.6172537	3.1714575	2.9762597	2.2391936	1.8098013	1.5162994	1.1511973	0.5128419	0.4327855	0.128283	0.1394616	0.0113558	0.8690432	0.1645202	0.0106495	0.0328269	0.8058519	0.2352554	0.0216593	0.0421324	0.0953820000000001	3.9578688	3.2079879	2.4425593	0.9888966	0.6700398	0.4245936	0.5758917	0.5618009	0.0156829	0.0362633	1.4485236	1.1511973	0.5128419	0.4327855	0.128283	0.1394616	0.0113558	0.8690432	0.055198	1.3035315	0.0605214	0.339181	0.0300334	3.7374604	3.1947796	2.8296953	2.4074685	0.4404729	0.0355311	1.9531392	1.4889311	0.0574141000000002	1.0108399	0.0482944	0.49895	0.1759588	0.0174824	0.0693215	0.926912500000001	0.2869378	0.0231254	4.2648747	4.1315072	3.9578688	3.7374604	3.1978276	2.5905623	1.8599311	0.9796662	0.4726701	0.0317258	0.0231254	0.4404729	0.0355311	0.9926517	0.3332776	0.0295186000000001	1.5107072	0.7304562	0.2657057	0.0234685	0.6394304	0.0520166	3.2079879	2.4425593	1.8518888	0.9888966	0.6700398	0.4245936	0.0191144	0.5758917	0.5618009	0.0156829	0.0362633	1.4485236	1.1511973	0.5128419	0.4327855	0.128283	0.1394616	0.0113558	0.8690432	0.031092	0.0106495	0.9514185	0.0399611000000001	0.5386315	1.3118967	0.0605214	0.339181	0.0300334	3.505213	0.6172537	0.0516221000000001	3.1714575	2.9762597	2.2391936	1.8098013	1.5162994	1.1511973	0.5128419	0.1394616	0.0113558	0.4327855	0.8690432	0.2006595	0.0149039	0.8058519	0.2352554	0.0216593	0.0953820000000001	3.9371173	3.6553944	0.6466021	0.0502424000000001	3.4000383	3.1781622	2.7524123	2.4132521	1.9559879	1.4103072	0.3641222	0.0289475	0.439652	0.0356879	0.9416498	0.3077164	0.0281394000000001	2.4878858	1.8880609	1.6388934	0.9888966	0.6700398	0.4245936	0.0191144	0.5758917	0.5618009	0.0156829	0.0362633	1.4729155	1.3281366	1.1511973	0.7077619	0.5128419	0.4327855	0.128283	0.1394616	0.0113558	0.8690432	0.0313009	0.7917513	0.1644193	0.0106495	0.5386315	0.0399611000000001	0.4074846	0.0337949	1.2875784	0.6535693	0.2299108	0.0220724	2.0331978	0.7922528	0.0437045000000001	0.0418351
run3	4.3499882	4.2630253	3.9371967	3.6618136	0.666368300000001	0.0531649	3.3992278	3.1677633	2.7542581	2.4058541	0.9296251	0.2837915	0.0285512	1.9639864	1.3907242	0.653736	0.2363083	0.0198028	0.4442045	0.0392607	2.5086838	1.8896798	1.6360813	0.9905641	0.6705962	0.42213	0.0202716	0.5756525	0.5617997	0.014356	0.0387419	1.4663381	1.3235091	1.1524181	0.7060206	0.5146527	0.4326055	0.1281611	0.1339945	0.0109757	0.8728486	0.032734	0.7908803	0.166796	0.0115587	0.5380279	0.0436517	0.4113164	0.0331948	1.2813164	0.643108600000001	0.2287143	0.0223165	2.0473246	0.7837242	0.0464752	0.0461826	4.1241211	3.4956601	0.672084800000001	3.170796	2.9763771	2.2260637	1.7984753	1.5156991	1.1524181	0.5146527	0.4326055	0.1281611	0.1339945	0.0109757	0.8728486	0.1684995	0.0115587	0.0334746	0.834405900000001	0.2314739	0.0210162	0.0386379	0.0920289000000002	3.9605981	3.2084843	2.4278911	0.9905641	0.6705962	0.42213	0.5756525	0.5617997	0.014356	0.0387419	1.4491162	1.1524181	0.5146527	0.4326055	0.1281611	0.1339945	0.0109757	0.8728486	0.0535873	1.3046066	0.0631973	0.3465954	0.0303799	3.7284486	3.2122798	2.83265	2.413707	0.4510145	0.0368082	1.9673415	1.5196612	0.061755	1.0341028	0.0517275	0.5070884	0.1747555	0.0173345	0.0803005	0.9412103	0.2879058	0.0223538	4.2630253	4.1241211	3.9605981	3.7284486	3.1913997	2.6105424	1.8745428	0.9921694	0.474089	0.0318751	0.0223538	0.4510145	0.0368082	1.0126192	0.3235551	0.0284178	1.5382179	0.7324733	0.2635562	0.0248994	0.6590724	0.0485403	3.2084843	2.4278911	1.8373288	0.9905641	0.6705962	0.42213	0.0202716	0.5756525	0.5617997	0.014356	0.0387419	1.4491162	1.1524181	0.5146527	0.4326055	0.1281611	0.1339945	0.0109757	0.8728486	0.0291189	0.0115587	0.957581100000001	0.0436517	0.5380279	1.3227203	0.0631973	0.3465954	0.0303799	3.4956601	0.672084800000001	0.0519785	3.170796	2.9763771	2.2260637	1.7984753	1.5156991	1.1524181	0.5146527	0.1339945	0.0109757	0.4326055	0.8728486	0.204222	0.0164481	0.834405900000001	0.2314739	0.0210162	0.0920289000000002	3.9371967	3.6618136	0.666368300000001	0.0531649	3.3992278	3.1677633	2.7542581	2.4058541	1.9639864	1.3907242	0.3657807	0.0280979	0.4442045	0.0392607	0.9296251	0.2837915	0.0285512	2.5086838	1.8896798	1.6360813	0.9905641	0.6705962	0.42213	0.0202716	0.5756525	0.5617997	0.014356	0.0387419	1.4663381	1.3235091	1.1524181	0.7060206	0.5146527	0.4326055	0.1281611	0.1339945	0.0109757	0.8728486	0.032734	0.7908803	0.166796	0.0115587	0.5380279	0.0436517	0.4113164	0.0331948	1.2813164	0.643108600000001	0.2287143	0.0223165	2.0473246	0.7739308	0.0464752	0.0461826
run4	4.351785	4.2649217	3.9348312	3.6589877	0.661574700000001	0.0539936	3.3911767	3.163514	2.7566977	2.3965682	0.9264694	0.3022296	0.028205	1.9571066	1.408916	0.6496333	0.2219314	0.0193357	0.4691273	0.0362986	2.4886498	1.8890491	1.6373714	0.9947359	0.6706071	0.4236694	0.0203135	0.5757532	0.5618128	0.014628	0.0387016000000001	1.4659697	1.3229502	1.1567161	0.704217	0.5109011	0.4326545	0.1279804	0.1346435	0.0108809	0.8740643	0.0330067	0.7931286	0.1682194	0.0107967	0.538101	0.0386369	0.4110888	0.0326747	1.3145189	0.6432787	0.2217812	0.0194859	2.0482199	0.7702178	0.0431785	0.0428314	4.1268766	3.5063988	0.6281227	3.1629123	2.9760295	2.2297817	1.8086688	1.5197615	1.1567161	0.5109011	0.4326545	0.1279804	0.1346435	0.0108809	0.8740643	0.1621721	0.0107967	0.0312198	0.820635400000001	0.2446286	0.0200660000000001	0.040414	0.0942436	3.9586273	3.2254346	2.4344202	0.9947359	0.6706071	0.4236694	0.5757532	0.5618128	0.014628	0.0387016000000001	1.4458409	1.1567161	0.5109011	0.4326545	0.1279804	0.1346435	0.0108809	0.8740643	0.0554102	1.3043467	0.0573014	0.3405797	0.0288445000000001	3.7398441	3.2090999	2.8217476	2.4176248	0.4416495	0.0353989000000001	1.9876762	1.5178591	0.0616700000000001	1.0390969	0.0518766000000001	0.5216064	0.17987	0.0164544	0.0746783	0.9628143	0.28646	0.0212443	4.2649217	4.1268766	3.9586273	3.7398441	3.1774748	2.590463	1.8293903	0.9876861	0.4796836	0.0336012	0.0212443	0.4416495	0.0353989000000001	0.9748979	0.313717500000001	0.0314888	1.5303586	0.7551842	0.2698673	0.0247459000000001	0.6536556	0.0532308	3.2254346	2.4344202	1.8493081	0.9947359	0.6706071	0.4236694	0.0203135	0.5757532	0.5618128	0.014628	0.0387016000000001	1.4458409	1.1567161	0.5109011	0.4326545	0.1279804	0.1346435	0.0108809	0.8740643	0.033703	0.0107967	0.9263109	0.0386369	0.538101	1.3013174	0.0573014	0.3405797	0.0288445000000001	3.5063988	0.6281227	0.0536812000000001	3.1629123	2.9760295	2.2297817	1.8086688	1.5197615	1.1567161	0.5109011	0.1346435	0.0108809	0.4326545	0.8740643	0.1962828	0.0164122	0.820635400000001	0.2446286	0.0200660000000001	0.0942436	3.9348312	3.6589877	0.661574700000001	0.0539936	3.3911767	3.163514	2.7566977	2.3965682	1.9571066	1.408916	0.3704274	0.02939	0.4691273	0.0362986	0.9264694	0.3022296	0.028205	2.4886498	1.8890491	1.6373714	0.9947359	0.6706071	0.4236694	0.0203135	0.5757532	0.5618128	0.014628	0.0387016000000001	1.4659697	1.3229502	1.1567161	0.704217	0.5109011	0.4326545	0.1279804	0.1346435	0.0108809	0.8740643	0.0330067	0.7931286	0.1682194	0.0107967	0.538101	0.0386369	0.4110888	0.0326747	1.3145189	0.6432787	0.2217812	0.0194859	2.0482199	0.7899246	0.0431785	0.0428314
run5	4.3527589	4.2634578	3.9421335	3.651443	0.6453076	0.0468129	3.4208757	3.1926593	2.7740832	2.4226907	0.9429251	0.3136814	0.0302797	1.9526098	1.4086479	0.6430787	0.2228969	0.0222999	0.443562	0.0350746	2.4921625	1.8917049	1.6306636	0.9905706	0.6689845	0.4237871	0.0181516	0.5755809	0.5617398	0.0144001	0.0394308000000001	1.4632042	1.3209379	1.1535816	0.7010797	0.5127496	0.4326571	0.1280024	0.1388083	0.011083	0.8775381	0.0328432	0.7843647	0.1715181	0.0111967	0.5404971	0.0391344000000001	0.4181443	0.0330738	1.273175	0.643424200000001	0.2203314	0.0210964	2.0472565	0.7882381	0.0420196	0.0414241	4.1321109	3.5080769	0.6444789	3.1670479	2.9770758	2.2308014	1.8151035	1.5127477	1.1535816	0.5127496	0.4326571	0.1280024	0.1388083	0.011083	0.8775381	0.1635876	0.0111967	0.0330026	0.8101236	0.2311241	0.019743	0.0419717	0.0907272000000002	3.955265	3.2321551	2.4336601	0.9905706	0.6689845	0.4237871	0.5755809	0.5617398	0.0144001	0.0394308000000001	1.4465615	1.1535816	0.5127496	0.4326571	0.1280024	0.1388083	0.011083	0.8775381	0.0519665	1.3024044	0.0567006	0.3305878	0.0302655	3.7228788	3.1945809	2.8290859	2.4029873	0.4160445	0.0325151	1.9537915	1.5040442	0.0666635	1.0264952	0.0483872	0.5186755	0.1782745	0.0177265000000001	0.0726433000000001	0.9504649	0.2861568	0.022283	4.2634578	4.1321109	3.955265	3.7228788	3.1804478	2.572669	1.8431815	0.9962129	0.4797025	0.0308059	0.022283	0.4160445	0.0325151	0.9760929	0.3306404	0.0304205000000001	1.5085774	0.7407823	0.2560314	0.0257931	0.6454395	0.0510153	3.2321551	2.4336601	1.8463261	0.9905706	0.6689845	0.4237871	0.0181516	0.5755809	0.5617398	0.0144001	0.0394308000000001	1.4465615	1.1535816	0.5127496	0.4326571	0.1280024	0.1388083	0.011083	0.8775381	0.0323245	0.0111967	0.9285982	0.0391344000000001	0.5404971	1.3071342	0.0567006	0.3305878	0.0302655	3.5080769	0.6444789	0.0510109000000001	3.1670479	2.9770758	2.2308014	1.8151035	1.5127477	1.1535816	0.5127496	0.1388083	0.011083	0.4326571	0.8775381	0.192434	0.0156571	0.8101236	0.2311241	0.019743	0.0907272000000002	3.9421335	3.651443	0.6453076	0.0468129	3.4208757	3.1926593	2.7740832	2.4226907	1.9526098	1.4086479	0.3604695	0.0308004	0.443562	0.0350746	0.9429251	0.3136814	0.0302797	2.4921625	1.8917049	1.6306636	0.9905706	0.6689845	0.4237871	0.0181516	0.5755809	0.5617398	0.0144001	0.0394308000000001	1.4632042	1.3209379	1.1535816	0.7010797	0.5127496	0.4326571	0.1280024	0.1388083	0.011083	0.8775381	0.0328432	0.7843647	0.1715181	0.0111967	0.5404971	0.0391344000000001	0.4181443	0.0330738	1.273175	0.643424200000001	0.2203314	0.0210964	2.0472565	0.7774877	0.0420196	0.0414241
run6	4.3476936	4.2581746	3.9384917	3.657908	0.611802100000001	0.0505748	3.3984882	3.1736571	2.7670784	2.4306747	0.9252996	0.3083395	0.0280673	1.9875664	1.4172364	0.658137	0.2141747	0.0211046	0.4581252	0.0380829000000001	2.5031967	1.8936707	1.6326888	0.98547	0.6649352	0.4212763	0.021552	0.5757349	0.5617894	0.0141888	0.0401387000000001	1.4634335	1.3235385	1.1483152	0.7022437	0.5089022	0.4324603	0.1281594	0.1364311	0.010942	0.8745716	0.0321945	0.7910783	0.1674723	0.0110075	0.5395937	0.0402209	0.413201	0.034571	1.2834553	0.648738	0.2229094	0.0222645	2.0391535	0.7676702	0.0437638	0.0406133	4.1242842	3.5022192	0.660209000000001	3.1660307	2.9770974	2.2366471	1.8144916	1.519358	1.1483152	0.5089022	0.4324603	0.1281594	0.1364311	0.010942	0.8745716	0.1664639	0.0110075	0.0327853000000001	0.8254527	0.2436896	0.0205117	0.0414862	0.0999613000000004	3.9572396	3.2239402	2.4222316	0.98547	0.6649352	0.4212763	0.5757349	0.5617894	0.0141888	0.0401387000000001	1.4447015	1.1483152	0.5089022	0.4324603	0.1281594	0.1364311	0.010942	0.8745716	0.0554092	1.2820886	0.0622257	0.3402755	0.0311249	3.7294026	3.2161352	2.8348283	2.4042481	0.429564	0.0367897	1.9484799	1.4940037	0.0641363000000001	1.0292847	0.0505141	0.5053383	0.180388	0.0165225	0.0714260000000001	0.953008	0.279158	0.0243834	4.2581746	4.1242842	3.9572396	3.7294026	3.1807678	2.5906026	1.8633986	1.0103606	0.4828411	0.0337532	0.0243834	0.429564	0.0367897	0.994706400000001	0.3255567	0.0309551	1.4976216	0.7258696	0.2582795	0.0236618	0.6775612	0.0518562	3.2239402	2.4222316	1.8483782	0.98547	0.6649352	0.4212763	0.021552	0.5757349	0.5617894	0.0141888	0.0401387000000001	1.4447015	1.1483152	0.5089022	0.4324603	0.1281594	0.1364311	0.010942	0.8745716	0.0308826	0.0110075	0.9353327	0.0402209	0.5395937	1.3259826	0.0622257	0.3402755	0.0311249	3.5022192	0.660209000000001	0.0522407	3.1660307	2.9770974	2.2366471	1.8144916	1.519358	1.1483152	0.5089022	0.1364311	0.010942	0.4324603	0.8745716	0.194794	0.0158433	0.8254527	0.2436896	0.0205117	0.0999613000000004	3.9384917	3.657908	0.611802100000001	0.0505748	3.3984882	3.1736571	2.7670784	2.4306747	1.9875664	1.4172364	0.3819092	0.0314526	0.4581252	0.0380829000000001	0.9252996	0.3083395	0.0280673	2.5031967	1.8936707	1.6326888	0.98547	0.6649352	0.4212763	0.021552	0.5757349	0.5617894	0.0141888	0.0401387000000001	1.4634335	1.3235385	1.1483152	0.7022437	0.5089022	0.4324603	0.1281594	0.1364311	0.010942	0.8745716	0.0321945	0.7910783	0.1674723	0.0110075	0.5395937	0.0402209	0.413201	0.034571	1.2834553	0.648738	0.2229094	0.0222645	2.0391535	0.7749423	0.0437638	0.0406133
