Calib;node;Prior
ROOT;245;'U(4.520,1E-300)'
LUCA;246;'B(3.3470,4.5200,1E-300,1E-300)'
LECA;267;'B(1.0856,1.8796,0.0250,0.0250)'
TG-OXYPHOTOBACTERIA;305;'B(2.945,4.5200,1E-300,1E-300)'
CG-OXYPHOTOBACTERIA;306;'B(2.0136,3.4480,0.0250,0.0250)'
TG-EUKARYA-ARCH;266;'B(1.6191,3.4480,1E-300,1E-300)'
TG-EUKARYA-MITO;326;'B(1.0856,4.5200,0.0250,1e-300)'
ARCHAEPLASTIDA;278;'B(1.0300,1.8796,1E-300,1E-300)'
EMBRYOPHYTA;281;'B(0.4305,0.5155,1E-300,0.0250)'
EUDICOT-MONOCOT;282;'B(0.1250,0.2472,1E-300,0.0250)'
CG-FORAMINIFERA;290;'B(0.5225,1.8910,1E-300,1E-300)'
FUNGI;270;'B(0.3921,1.8910,1E-300,0.0250)'
EUMETAZOA;273;'B(0.5611,0.5908,1E-300,0.0250)'
METAZOA;272;'B(0.5740,0.6090,1E-300,0.0250)'
