Calib;node;Prior
ROOT;242;'U(4.520,1e-300)'
LUCA;243;'[#1 B{3.3470,4.5200,1e-300,1e-300}]'
LUCA-DUP;359;'[#1]'
LECA;264;'[#12 B{1.0856,1.8796,0.0250,0.0250}]'
LECA-DUP;448;'[#12]'
TG-OXYPHOTOBACTERIA;303;'[#10 B{2.945,4.5200,1e-300,1e-300}]'
TG-OXYPHOTOBACTERIA-DUP;413;'[#10]'
CG-OXYPHOTOBACTERIA;304;'[#9 B{2.0136,3.4480,0.0250,0.0250}]'
CG-OXYPHOTOBACTERIA-DUP;414;'[#9]'
TG-EUKARYA-ARCH;263;'[#7 B{1.6191,3.4480,1e-300,1e-300}]'
TG-EUKARYA-ARCH-DUP;447;'[#7]'
TG-EUKARYA-MITO;324;'[#8 B{1.0856,4.5200,0.0250,1e-300}]'
TG-EUKARYA-MITO-DUP;382;'[#8]'
ARCHAEPLASTIDA;275;'[#6 B{1.0300,1.8796,1e-300,1e-300}]'
ARCHAEPLASTIDA-DUP1;307;'[#6]'
ARCHAEPLASTIDA-DUP2;331;'[#6]'
ARCHAEPLASTIDA-DUP3;393;'[#6]'
ARCHAEPLASTIDA-DUP4;417;'[#6]'
ARCHAEPLASTIDA-DUP5;458;'[#6]'
EMBRYOPHYTA;278;'[#5 B{0.4305,0.5155,1e-300,0.0250}]'
EMBRYOPHYTA-DUP1;309;'[#5]'
EMBRYOPHYTA-DUP2;333;'[#5]'
EMBRYOPHYTA-DUP3;395;'[#5]'
EMBRYOPHYTA-DUP4;421;'[#5]'
EMBRYOPHYTA-DUP5;461;'[#5]'
EUDICOT-MONOCOT;279;'[#4 B{0.1250,0.2472,1e-300,0.0250}]'
EUDICOT-MONOCOT-DUP1;310;'[#4]'
EUDICOT-MONOCOT-DUP2;334;'[#4]'
EUDICOT-MONOCOT-DUP3;396;'[#4]'
EUDICOT-MONOCOT-DUP4;462;'[#4]'
CG-FORAMINIFERA;287;'[#11 B{0.5225,1.8910,1e-300,1e-300}]'
CG-FORAMINIFERA-DUP1;404;'[#11]'
CG-FORAMINIFERA-DUP2;470;'[#11]'
FUNGI;267;'[#2 B{0.3921,1.8910,1e-300,0.0250}]'
FUNGI-DUP1;327;'[#2]'
FUNGI-DUP2;386;'[#2]'
FUNGI-DUP;451;'[#2]'
EUMETAZOA;270;'[#3 B{0.5611,0.5908,1e-300,0.0250}]'
EUMETAZOA-DUP1;329;'[#3]'
EUMETAZOA-DUP2;389;'[#3]'
EUMETAZOA-DUP3;453;'[#3]'
METAZOA;269;'[#13 B{0.5740,0.6090,1e-300,0.0250}]'
METAZOA;328;'[#13]'
METAZOA;388;'[#13]'
METAZOA;452;'[#13]'
