t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	t_n436	t_n437	t_n438	t_n439	t_n440	t_n441	t_n442	t_n443	t_n444	t_n445	t_n446	t_n447	t_n448	t_n449	t_n450	t_n451	t_n452	t_n453	t_n454	t_n455	t_n456	t_n457	t_n458	t_n459	t_n460	t_n461	t_n462	t_n463	t_n464	t_n465	t_n466	t_n467	t_n468	t_n469	t_n470	t_n471	t_n472	t_n473	t_n474	t_n475	t_n476	t_n477	t_n478	t_n479	t_n480	t_n481	t_n482	t_n483	t_n484	t_n485	t_n486	t_n487	t_n488	t_n489	t_n490	t_n491
run1	4.5141446	4.4328814	4.3252737	4.2612321	3.8711033	1.8376393	4.1975123	4.1224464	3.916391	3.5794921	2.4271471	1.668249	1.1699574	2.941385	1.8262076	1.6002468	1.2437198	0.6047646	1.7375055	1.3019806	3.9510273	3.3148696	1.907226	1.8513981	1.7655784	1.5646527	1.1280851	0.6091381	0.5903733	0.5792187	1.6407441	1.8678139	1.8338682	1.7582309	1.6090033	1.4127249	0.5152056	0.2472322	1.0973702	0.5948136	1.5474133	1.1534853	1.7561792	1.5477503	1.100244	1.5418403	1.689818	2.2372337	1.5918552	3.3528643	2.0193555	1.6003999	1.0786687	4.0784146	3.5209575	1.6718904	1.6926518	4.3443326	4.2669938	3.6977299	4.1968257	4.0680285	3.4391385	3.2283851	2.8632302	1.8347015	1.6720069	0.5155524	0.2473069	1.4270063	0.8863232	1.6980471	1.4686989	0.9461599	1.3527941	1.8731062	1.6264199	1.1596192	1.5366227	3.4592622	4.2723307	4.195253	4.0380066	3.5619621	2.443221	1.6328399	0.6090838	0.590407	0.5792964	1.8256495	3.5256826	1.8375525	1.6725171	0.5155536	0.2474756	1.4151205	0.8794553	1.5524704	1.8341123	3.8705022	1.8831346	2.6524487	1.4907118	4.1738041	4.0391849	3.8441307	3.4729789	1.9692137	1.451169	2.9201727	1.8885906	1.5034942	1.6972086	1.2693005	1.4519157	1.1168082	0.5920908	1.6418448	3.0661167	1.7428057	1.2354527	4.4317421	4.3444204	4.2870705	4.1957653	4.0512789	3.8071439	3.3044271	1.9830097	1.6492575	1.1666814	1.1612566	1.8182988	1.362931	2.9093963	1.7239833	1.2169166	3.559085	2.3514247	1.6002397	1.0513333	3.7088515	1.7612828	4.2200496	4.1092055	3.8433592	3.3940105	2.2917149	1.6588915	1.2004485	0.6090996	0.5903139	0.5795634	1.781712	3.360007	1.8345241	1.6722695	0.5155169	0.2472495	1.4126503	0.8723478	1.6386855	1.2226257	1.7736926	3.5771676	1.8199233	1.7724664	3.9060153	2.080019	2.8005499	1.5011539	4.2680586	3.898522	1.8644397	4.1944555	4.0647933	3.4340225	3.2114384	2.7737343	1.8216331	1.6581708	1.4092516	0.872076	0.5153699	1.6555181	1.3989376	0.8451539	1.8294658	1.5625986	1.0743623	3.446899	4.3242285	4.2597165	3.8778171	1.8369658	4.1986815	4.125558	3.9042425	3.5126808	2.7437633	1.7597955	1.4675975	0.8470978	1.7065022	1.247594	2.2862615	1.632098	1.1242719	3.9456491	3.3190513	1.9056922	1.8517197	1.7634942	1.571816	1.1174873	0.6090936	0.5904536	0.5795652	1.6535142	1.8692525	1.8352169	1.7573144	1.6149683	1.4215963	0.5153528	0.2473173	1.1114965	0.5947941	1.5477536	1.1335519	1.7518367	1.5509283	1.1184584	1.5435509	1.6938985	2.2401893	1.5670508	3.348893	1.9976809	1.6029588	1.0723475	4.0779776	3.487441	1.6674331	1.6661253
run2	4.5139871	4.435944	4.3262158	4.2570409	3.8713358	1.8288898	4.194578	4.1151699	3.9148138	3.551623	2.4074676	1.6554322	1.1490213	2.9326393	1.8172953	1.6033493	1.2679048	0.6055324	1.7422898	1.288183	3.9507155	3.3121611	1.9076413	1.8513723	1.7657411	1.5679508	1.1268991	0.6091837	0.590347	0.579562	1.6547269	1.8675075	1.8345354	1.7579002	1.6072489	1.4113806	0.5153282	0.2474347	1.1055	0.5953136	1.5402491	1.1224262	1.7562132	1.5381708	1.1226265	1.5379536	1.6990498	2.2294499	1.5809873	3.3652362	2.0216846	1.6080617	1.071544	4.0765064	3.4867803	1.702591	1.6708333	4.3480654	4.2639611	3.6904119	4.1955325	4.0606725	3.4350645	3.2343097	2.8111157	1.832592	1.6773836	0.5155681	0.2472594	1.4249828	0.8931607	1.6925349	1.4681614	0.9910931	1.3578944	1.8658364	1.6216562	1.1782467	1.5217882	3.4743414	4.2783348	4.1933784	4.0524303	3.5558347	2.4849952	1.6323445	0.6091131	0.5904322	0.5795531	1.816237	3.5302226	1.8394778	1.6780571	0.515308	0.2471571	1.4297834	0.8668541	1.5578304	1.8131781	3.8567531	1.9949521	2.5745399	1.4917528	4.1807793	4.0438956	3.8455291	3.4912009	1.9420737	1.446614	2.9395128	1.8703495	1.4989863	1.7018571	1.2739822	1.472584	1.1132205	0.5906769	1.6490422	3.025954	1.7350187	1.2432766	4.4352847	4.3502625	4.2852732	4.1877768	4.0573318	3.8048694	3.2858004	1.9945567	1.6465618	1.1766812	1.180148	1.7987552	1.3487151	2.9400782	1.7080976	1.2126166	3.5821207	2.2878061	1.5997908	1.0760836	3.6632548	1.7351727	4.2122007	4.105755	3.8531119	3.4019573	2.287698	1.6588599	1.2035342	0.6090926	0.5904319	0.5795433	1.767441	3.3715313	1.8290043	1.6661132	0.5154981	0.2471384	1.4017914	0.8616966	1.632834	1.2163763	1.7698617	3.5627763	1.8170625	1.7682416	3.8972638	2.1463009	2.8493685	1.5217957	4.2731178	3.8978296	1.8489333	4.202314	4.0712129	3.4376822	3.2012514	2.7448462	1.8225874	1.6563477	1.400695	0.8877447	0.5153438	1.6528555	1.384722	0.8457095	1.8260198	1.5696264	1.0899023	3.4902196	4.3241716	4.2573717	3.869777	1.835024	4.1940728	4.1206887	3.9006069	3.5340516	2.8004946	1.7620448	1.4848385	0.8992694	1.7245097	1.2591718	2.2759423	1.6389274	1.1373246	3.9414631	3.3271468	1.9068933	1.8477433	1.7637863	1.5666227	1.1151248	0.6091424	0.590386	0.5795023	1.6402608	1.8669152	1.8335634	1.7577204	1.6069776	1.4172677	0.5155018	0.2472515	1.1175435	0.594636	1.5428668	1.1469376	1.7529259	1.5449409	1.1094124	1.5416646	1.6990947	2.2270233	1.5679243	3.3737056	2.0204369	1.6000299	1.0501315	4.0716833	3.5462077	1.6629362	1.6842138
run3	4.5142352	4.4351429	4.3232436	4.2579871	3.8733837	1.8532929	4.1946053	4.1237632	3.9209827	3.5553959	2.4531869	1.6579914	1.1540667	2.9186866	1.8126028	1.5821194	1.263429	0.6031099	1.7466986	1.2856627	3.9530909	3.3284902	1.9074826	1.8502167	1.763387	1.5552876	1.1198941	0.6091746	0.5904152	0.5782028	1.6388241	1.8687018	1.8337235	1.7642827	1.6080577	1.4195171	0.5154533	0.2474253	1.1145281	0.5946478	1.5576853	1.1521705	1.7565574	1.540594	1.1152344	1.5358977	1.7014691	2.2555579	1.5726946	3.3348367	1.9776533	1.5989281	1.07526	4.074912	3.5112158	1.6652151	1.6629306	4.3427827	4.2661436	3.7285907	4.1949498	4.0672873	3.431833	3.2163707	2.8084137	1.8353332	1.6711255	0.5155637	0.2472249	1.4297598	0.9294366	1.6907287	1.4680087	1.005558	1.3534779	1.8700602	1.6222593	1.1566285	1.5318682	3.4542635	4.2778431	4.1929834	4.0575249	3.5439087	2.5083246	1.6310449	0.6090789	0.5903637	0.5788893	1.8174336	3.559943	1.8390872	1.6753901	0.5153935	0.2471811	1.4289696	0.8784911	1.5714376	1.8288713	3.8535016	1.9772738	2.7495923	1.4898882	4.1748385	4.0368796	3.8351889	3.4750642	1.9155763	1.4422714	2.8996103	1.8820523	1.4846356	1.6934646	1.2354126	1.4476457	1.104625	0.5905657	1.654721	3.0281264	1.7244618	1.2401802	4.434802	4.3492588	4.2867252	4.189535	4.0622321	3.8200669	3.3208921	2.0110583	1.6584272	1.1791338	1.1542907	1.8042932	1.3414713	2.9770157	1.7194258	1.2031706	3.5751514	2.271579	1.5912754	1.0460198	3.7127538	1.7474952	4.2146735	4.1056674	3.8571498	3.3939485	2.3005882	1.6569995	1.2094905	0.6091192	0.590345	0.5792525	1.7804033	3.341407	1.8346515	1.6691245	0.5154717	0.2472244	1.4090011	0.8935384	1.6193141	1.2156643	1.7702696	3.5728476	1.8068125	1.7669616	3.900643	2.0197569	2.8451708	1.4911909	4.2680751	3.8853855	1.8708978	4.1933234	4.0594183	3.4345143	3.2085267	2.7536059	1.820909	1.6570823	1.4024859	0.8700596	0.5155727	1.6573198	1.3970641	0.8626151	1.8316977	1.5726065	1.1025521	3.4506708	4.326827	4.255156	3.8565945	1.8293597	4.1981982	4.1202483	3.905247	3.484826	2.7641976	1.7610579	1.4434531	0.8382879	1.7205543	1.2473013	2.2519349	1.631796	1.1236943	3.9417486	3.3199741	1.9082698	1.8519537	1.7640682	1.5689873	1.1473785	0.6091101	0.590296	0.5790879	1.6405485	1.8692684	1.83205	1.7551546	1.6073886	1.415045	0.5153531	0.2469928	1.1063122	0.5964453	1.5473931	1.1253004	1.7544032	1.547936	1.1083684	1.54796	1.6987797	2.2317707	1.5851591	3.3613947	2.019299	1.5995823	1.0718592	4.0751563	3.515486	1.6591095	1.6703464
run4	4.5141999	4.4354784	4.3277042	4.2611269	3.8683251	1.8568734	4.1963489	4.1195651	3.9362937	3.5873459	2.4842471	1.6567438	1.1749867	2.979956	1.8245095	1.6056414	1.2620103	0.6047544	1.7583203	1.3095016	3.9568979	3.3255935	1.9063063	1.8487475	1.767876	1.5744067	1.1284453	0.6091317	0.59035	0.5793515	1.6365848	1.8669456	1.8314263	1.7585548	1.609055	1.414324	0.5153108	0.2470676	1.1016594	0.5961054	1.5411181	1.1523425	1.7565966	1.5535422	1.1017263	1.5447039	1.6876446	2.2193186	1.5776773	3.3683717	1.9935385	1.5957563	1.0803813	4.0783934	3.5171353	1.6963636	1.6727442	4.3462057	4.2692777	3.7248066	4.1900087	4.0580562	3.4317207	3.2262955	2.8232935	1.8293948	1.6787182	0.5155301	0.2467016	1.4394034	0.9685304	1.6884984	1.4454218	0.9872394	1.3433313	1.8739383	1.6329117	1.1710335	1.5358579	3.4700114	4.2731531	4.1939457	4.0386908	3.5633982	2.4844723	1.6320544	0.6090548	0.5904028	0.5789223	1.8269295	3.524552	1.8367402	1.6729141	0.5152631	0.2471958	1.4189496	0.8686326	1.5581514	1.8276427	3.8575985	1.8882258	2.6838171	1.4980071	4.1669526	4.0291278	3.835851	3.4908166	1.9590999	1.4511383	2.9258344	1.9031353	1.4870928	1.6980578	1.2746235	1.4658029	1.1111739	0.5905359	1.6595886	3.0245315	1.7280059	1.2283639	4.4388913	4.3478997	4.2864114	4.1921041	4.062493	3.8197735	3.3086744	1.9815112	1.6264911	1.1667897	1.1507584	1.805953	1.3519824	2.9652087	1.708869	1.2191463	3.6007123	2.3422134	1.5983915	1.0450484	3.6826149	1.7582464	4.2145518	4.1019575	3.8459455	3.3880646	2.2787173	1.6664575	1.2116245	0.6090979	0.5903999	0.5793872	1.7802086	3.3649038	1.830519	1.666405	0.5155331	0.2469755	1.4161933	0.9268514	1.6268186	1.2297092	1.768824	3.586095	1.8205932	1.7745457	3.8882544	2.1074485	2.774983	1.5087597	4.2716677	3.8777373	1.8551053	4.1988602	4.0734161	3.4344413	3.2053351	2.7931535	1.8232238	1.6569804	1.4062701	0.8795126	0.5155785	1.6523965	1.3869552	0.8605315	1.82907	1.5704174	1.0791241	3.4562113	4.3278615	4.2591027	3.8810994	1.8254135	4.1918697	4.1111426	3.8971318	3.511424	2.7905327	1.7675878	1.4516026	0.8741157	1.7170158	1.2550389	2.3155639	1.6480522	1.1326194	3.9539839	3.3265167	1.9061794	1.8478403	1.7678516	1.5610532	1.1175844	0.609146	0.590338	0.5791631	1.6531376	1.8679738	1.8341803	1.7583682	1.6108642	1.4151361	0.5154786	0.247298	1.1193222	0.5961593	1.545473	1.1523014	1.7567888	1.5507655	1.0984809	1.5413472	1.6930637	2.237731	1.5811699	3.3514317	2.0294867	1.6000664	1.072176	4.0809825	3.4910485	1.6780941	1.6601149
run5	4.5140478	4.4352075	4.3241199	4.2545285	3.8728013	1.8435389	4.1953676	4.1221877	3.9098526	3.5679256	2.4244288	1.6649922	1.1626866	2.9267213	1.8137469	1.579445	1.2584128	0.6019233	1.7432652	1.297653	3.9462303	3.3269097	1.9076417	1.8501781	1.7692368	1.5616631	1.1259528	0.609197	0.590359	0.5792678	1.6403332	1.8669341	1.8316334	1.7571092	1.6106284	1.4148689	0.5152594	0.2473976	1.1143173	0.5956393	1.5407455	1.1420564	1.7557203	1.5566319	1.0962597	1.5447028	1.6945037	2.2368877	1.5772928	3.3703628	1.9437373	1.5906083	1.0538449	4.0879306	3.5222109	1.6789641	1.6701678	4.3423743	4.2668227	3.7274209	4.1880429	4.0613793	3.4323906	3.2206311	2.8260156	1.832072	1.6800302	0.5155064	0.2469831	1.4407078	0.8930059	1.694587	1.4635066	0.9967059	1.3678817	1.8619519	1.6180507	1.1513206	1.5269966	3.4629853	4.2747176	4.1898578	4.0356021	3.5285682	2.5139066	1.6323582	0.609101	0.5903326	0.5791568	1.8192191	3.5414309	1.8364936	1.6699253	0.5154003	0.2473062	1.4218603	0.8650004	1.5609146	1.8265465	3.850681	1.9326376	2.6989447	1.5201023	4.1744151	4.0454809	3.8416691	3.4997091	1.9919495	1.4530596	2.9213521	1.8886882	1.4865646	1.7001503	1.2629983	1.4567176	1.1144995	0.5905574	1.6557899	3.0623446	1.7404709	1.2452034	4.433873	4.3528722	4.2857716	4.1870641	4.0536349	3.7923371	3.3118021	2.0104782	1.6445542	1.1714498	1.1520902	1.8094946	1.3606506	2.9671448	1.7188907	1.2090252	3.5580723	2.2491303	1.6061138	1.0602768	3.6839989	1.7612765	4.2134723	4.1100442	3.8482661	3.3965367	2.3246416	1.6609684	1.2129207	0.6091958	0.5903757	0.5788296	1.7712096	3.3613863	1.8312514	1.6627947	0.5155913	0.2472684	1.4079729	0.8670053	1.6291172	1.2216037	1.7539461	3.5917442	1.7981217	1.7704576	3.8771592	2.1729384	2.8770591	1.5211944	4.2706166	3.8798731	1.8578497	4.1940927	4.0655524	3.431309	3.2127155	2.7687151	1.8244054	1.6590988	1.3954191	0.8559156	0.5153603	1.6547919	1.4053946	0.8569358	1.8347283	1.5773816	1.1015824	3.4635644	4.3296053	4.2549373	3.8653456	1.8403579	4.1913347	4.1133598	3.8912352	3.4880966	2.7378975	1.7555356	1.4440237	0.8847984	1.7167581	1.263575	2.3264558	1.635414	1.135842	3.9544939	3.3177748	1.9065057	1.8472414	1.7641458	1.561864	1.1222486	0.6090569	0.5904008	0.5791097	1.6496345	1.8662633	1.8293405	1.7554542	1.6076491	1.4111395	0.5154276	0.2470539	1.1255846	0.5963032	1.5407881	1.1392282	1.7509891	1.5393471	1.1100211	1.5413411	1.6955804	2.2402903	1.5932713	3.370404	2.0248944	1.5997579	1.058247	4.0810575	3.5504079	1.6821365	1.6758054
run6	4.5138974	4.4306133	4.3216682	4.248822	3.8746214	1.8481556	4.1858361	4.1199568	3.9226705	3.5804296	2.4611081	1.6693807	1.1577579	2.9489944	1.8273601	1.5844356	1.2530311	0.6047573	1.7436516	1.3050626	3.9496402	3.3201316	1.9061302	1.8492035	1.7615419	1.568038	1.1184731	0.6090712	0.5903855	0.5791401	1.6437004	1.8684421	1.8327776	1.7584705	1.6084933	1.4112237	0.5154033	0.2472326	1.1157696	0.5954969	1.5404847	1.1241781	1.7557932	1.5420661	1.0951888	1.5417562	1.6993739	2.253401	1.5870174	3.3617529	2.012097	1.6072782	1.0478082	4.0732744	3.5056979	1.6616989	1.6596817	4.3417605	4.2619591	3.6968067	4.1880058	4.0616882	3.4378764	3.2306611	2.8555852	1.8354079	1.6745394	0.515522	0.2470835	1.4220602	0.9096108	1.702139	1.465856	1.0210762	1.3634835	1.8746248	1.6262669	1.1615223	1.5305077	3.4934286	4.2730149	4.1899083	4.0359869	3.5525785	2.4844161	1.6410586	0.6091567	0.5903573	0.5795848	1.8227588	3.5379133	1.8397709	1.6792533	0.5154301	0.2470359	1.4150209	0.8966123	1.5582212	1.8267789	3.8475126	1.8835895	2.7203484	1.5118903	4.173342	4.0487163	3.8514105	3.4839074	1.9361491	1.4257291	2.9467532	1.8846706	1.5112956	1.6929753	1.2745025	1.4592199	1.1206712	0.5910828	1.6539371	3.0563066	1.7454914	1.2511148	4.4338216	4.3442088	4.2768435	4.1852233	4.0523737	3.8019636	3.2869115	2.0411327	1.6577467	1.1563578	1.16342	1.8027768	1.3517243	2.998521	1.7066615	1.2048691	3.5440951	2.2340196	1.5956933	1.0480912	3.6935227	1.7648015	4.2125117	4.1063494	3.8389892	3.3933216	2.2613812	1.6485812	1.18498	0.6091607	0.5903827	0.579329	1.7741326	3.3616206	1.8329374	1.6698461	0.5156203	0.2472992	1.4105158	0.8658074	1.6348623	1.2267731	1.7670493	3.5797585	1.8147971	1.7729049	3.8912879	2.1678951	2.8461378	1.5268441	4.2629502	3.8924904	1.8527461	4.1837198	4.052463	3.4341248	3.2099271	2.7629794	1.8262495	1.662438	1.3968731	0.8460898	0.5154176	1.6544686	1.3926178	0.8703526	1.8392739	1.5646077	1.0945735	3.4685602	4.3231065	4.257439	3.8567957	1.8257283	4.1877193	4.1098342	3.8915339	3.5049935	2.7737363	1.7630019	1.4762378	0.8711088	1.7285171	1.2679095	2.4059436	1.6514254	1.1464399	3.9514691	3.3252614	1.9071988	1.8486164	1.7614515	1.5629434	1.1191771	0.6090687	0.5903512	0.5796382	1.650372	1.8683367	1.8331337	1.7543838	1.6041393	1.4091915	0.5153105	0.2470013	1.1022794	0.5949734	1.5399779	1.1416496	1.7555241	1.5542989	1.1153756	1.5425924	1.7029179	2.2502171	1.5801917	3.3302636	1.9977741	1.6157972	1.052327	4.074195	3.5163112	1.6818389	1.6678701
