t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	t_n436	t_n437	t_n438	t_n439	t_n440	t_n441	t_n442	t_n443	t_n444	t_n445	t_n446	t_n447	t_n448	t_n449	t_n450	t_n451	t_n452	t_n453	t_n454	t_n455	t_n456	t_n457	t_n458	t_n459	t_n460	t_n461	t_n462	t_n463	t_n464	t_n465	t_n466	t_n467	t_n468	t_n469	t_n470	t_n471	t_n472	t_n473	t_n474	t_n475	t_n476	t_n477	t_n478	t_n479	t_n480	t_n481	t_n482	t_n483	t_n484	t_n485	t_n486	t_n487	t_n488	t_n489	t_n490	t_n491
run1	4.5141547	4.4332236	4.3219183	4.255185	3.8532893	1.8218179	4.1919518	4.1218056	3.9172891	3.5773721	2.4058438	1.6573349	1.1552088	2.9658758	1.8302813	1.5940566	1.2541857	0.604604	1.7517348	1.2752337	3.950604	3.3246446	1.9068411	1.8510005	1.7693916	1.5647155	1.1215683	0.609163	0.5903606	0.5793083	1.6487889	1.8666472	1.8340436	1.7577791	1.6074107	1.4087209	0.5153243	0.2472905	1.1020084	0.5961286	1.5417252	1.1318451	1.7560728	1.5430401	1.0852572	1.5426677	1.6984383	2.2226227	1.581769	3.3553203	2.0009318	1.5965602	1.0731146	4.0745857	3.5038896	1.6889531	1.6664832	4.3408986	4.2625128	3.7083721	4.1835621	4.0570076	3.4359028	3.2202709	2.8367515	1.8299102	1.6748069	0.5155809	0.247114	1.4279132	0.9225155	1.6932046	1.4553142	0.9771028	1.3643861	1.8686935	1.6173909	1.1468569	1.5249659	3.4504153	4.2766411	4.1867762	4.0360015	3.5444875	2.4731786	1.6349563	0.6090854	0.5904302	0.5789776	1.8150037	3.5525868	1.8364771	1.6823789	0.5155031	0.2470364	1.4124094	0.8945449	1.5712328	1.8403358	3.8466272	2.029824	2.6181446	1.4799315	4.1727145	4.0296943	3.8511387	3.497122	1.9290182	1.4427211	2.9434511	1.8866528	1.4742668	1.6959601	1.2697586	1.4616361	1.1089276	0.591951	1.645889	3.0754432	1.7456369	1.2248125	4.4350828	4.3491451	4.2828364	4.190301	4.0469916	3.7945813	3.2743544	1.9833402	1.6524171	1.1764623	1.1581488	1.8072352	1.3419445	2.9812513	1.6961389	1.2076858	3.5573528	2.1891238	1.59662	1.0612692	3.7063375	1.7684023	4.2129613	4.0947333	3.8479214	3.4108504	2.2876262	1.6606049	1.202182	0.6091678	0.5903259	0.5794941	1.7576969	3.3875044	1.8312989	1.668328	0.5155494	0.2472197	1.4052555	0.8837726	1.619323	1.2133619	1.79165	3.600087	1.8037291	1.7674277	3.8829396	2.1302999	2.8528663	1.5067247	4.2696229	3.8530608	1.847333	4.192715	4.063373	3.4351697	3.2163188	2.7635048	1.8211348	1.6590975	1.3947678	0.8719201	0.5153114	1.6509614	1.3923572	0.8626609	1.8261441	1.5607247	1.0777342	3.4921968	4.3323482	4.2589165	3.8491866	1.8372567	4.1953487	4.1203763	3.8928058	3.5051881	2.7384609	1.7673411	1.4683994	0.8864688	1.7180383	1.2483509	2.3299924	1.6416536	1.1318435	3.947045	3.3180897	1.9066562	1.8504173	1.7633836	1.56341	1.1257039	0.6091565	0.5903974	0.5790163	1.6400089	1.8668994	1.8326937	1.7577704	1.6086407	1.4171779	0.5153827	0.247057	1.1206902	0.5961759	1.5496534	1.1391433	1.7613002	1.5376931	1.0886453	1.5378279	1.7000258	2.2245818	1.587399	3.366037	1.9757592	1.5973361	1.0708432	4.0742524	3.4985207	1.6816956	1.6707486
run2	4.5139362	4.43004	4.3185138	4.2487627	3.8580303	1.8443654	4.1863479	4.1134551	3.9126603	3.5585517	2.4247337	1.6630563	1.1556863	2.9477546	1.8266086	1.6070438	1.255882	0.6015793	1.7467569	1.2835096	3.9495923	3.3066777	1.9057895	1.8484853	1.7624941	1.566123	1.1272473	0.6091113	0.5903496	0.5791251	1.6413819	1.8675844	1.8334418	1.7617565	1.6060382	1.4190056	0.5152358	0.2473948	1.1133528	0.5975454	1.5459066	1.1460361	1.7549294	1.5487536	1.1052148	1.5493824	1.6918502	2.2524856	1.5750819	3.3583006	2.0257888	1.5997307	1.0815156	4.0727824	3.4814602	1.6551914	1.6783905	4.3344772	4.2560907	3.722977	4.1801406	4.058999	3.4361639	3.2290781	2.8443104	1.8337496	1.676698	0.5155935	0.2471563	1.4322243	0.8911042	1.6933011	1.4522638	0.9791036	1.3592553	1.8690736	1.6162404	1.1409829	1.5407743	3.4224861	4.2693867	4.1847509	4.0434549	3.554731	2.4331313	1.6297592	0.6090975	0.5904469	0.578789	1.8144242	3.5395508	1.8379469	1.6781144	0.5156353	0.2472225	1.4220154	0.8918065	1.5691627	1.8415853	3.8404323	1.917636	2.6022687	1.5014703	4.1753697	4.0575275	3.8556299	3.4977277	1.9340461	1.4332285	2.8987276	1.8937547	1.4949212	1.6943866	1.2671373	1.4645745	1.1065746	0.5920115	1.6536293	3.1066529	1.7329213	1.2389661	4.4317715	4.3416847	4.2775892	4.1839558	4.0550701	3.7992154	3.2757542	1.9648805	1.6445126	1.1713059	1.1688343	1.8105679	1.3538888	2.9713927	1.7155403	1.2254594	3.5573695	2.2317757	1.6106148	1.0632476	3.7106642	1.7644306	4.2068227	4.1035834	3.8562656	3.4127245	2.2713715	1.6588669	1.2004568	0.6092488	0.5903916	0.5790163	1.7728398	3.3855769	1.8332164	1.6700241	0.5156652	0.2472749	1.405288	0.8844137	1.6387098	1.2372361	1.7813701	3.6002459	1.8259082	1.7766491	3.903657	2.0564643	2.8117349	1.5350877	4.2645437	3.8913216	1.85767	4.1912952	4.0634947	3.4317107	3.206103	2.7405893	1.8225461	1.6598409	1.4037605	0.8914943	0.5156549	1.6585698	1.4103954	0.8894578	1.8308524	1.5825942	1.0860844	3.4673501	4.3176683	4.2507369	3.8644238	1.8468291	4.1854573	4.114151	3.8973359	3.4829703	2.7155504	1.7630055	1.4625743	0.9007576	1.7131741	1.2815674	2.2731152	1.6436986	1.1235417	3.9497891	3.309678	1.9067713	1.8507536	1.7663265	1.5704105	1.1303931	0.6091355	0.590351	0.5797552	1.6386217	1.8677563	1.8329525	1.757603	1.609552	1.4171051	0.5154395	0.2471994	1.1100656	0.5952221	1.542466	1.1313716	1.7563468	1.5425464	1.1085727	1.5408519	1.697589	2.2053679	1.5760797	3.3638397	1.9840591	1.5900383	1.0710299	4.0798238	3.4899133	1.6597605	1.6827614
run3	4.5141858	4.4323044	4.324001	4.257689	3.8499469	1.8349309	4.1990805	4.1244193	3.9264612	3.5580875	2.4432582	1.6711572	1.1688241	2.9493635	1.8210564	1.6011455	1.2615008	0.6055076	1.7511985	1.2933582	3.9381495	3.3111131	1.907137	1.8499289	1.7633289	1.5651523	1.1176415	0.6092508	0.5903762	0.5792313	1.6456999	1.867267	1.8325147	1.7591579	1.616912	1.4118082	0.5153377	0.2471228	1.1005454	0.5953554	1.5410017	1.1578992	1.7532703	1.5527833	1.1211339	1.5472587	1.6944311	2.2092724	1.5765882	3.3556395	1.9872051	1.5951778	1.0719238	4.072887	3.4873228	1.6817828	1.6976282	4.3395055	4.2649191	3.6822746	4.1976447	4.0663267	3.4347762	3.2151412	2.8273555	1.831403	1.6836203	0.5155457	0.247059	1.4301572	0.9394007	1.6947953	1.4653542	1.0014181	1.3687839	1.8623011	1.6308878	1.1559504	1.5494124	3.4698177	4.2773317	4.1960796	4.0534165	3.5659074	2.4142485	1.636227	0.609159	0.5904484	0.5793015	1.8107112	3.5238487	1.8374097	1.679348	0.5156205	0.247123	1.4232829	0.897548	1.5686324	1.8278277	3.8432814	1.954316	2.675647	1.4884422	4.1795942	4.0504661	3.8364204	3.4796288	1.9329745	1.4460178	2.8873426	1.8658111	1.4773173	1.6972624	1.2699959	1.4551019	1.10062	0.5903833	1.648769	3.0279805	1.729436	1.2371802	4.436537	4.3496889	4.2890664	4.1971564	4.0542095	3.7974949	3.2922968	1.9772287	1.6487886	1.1646501	1.1482113	1.8118382	1.3403743	2.9668486	1.7139477	1.1926235	3.6038582	2.3371619	1.6058864	1.0456776	3.6982972	1.7607065	4.2201346	4.1056053	3.8386685	3.4006449	2.3434339	1.6606624	1.1845101	0.6090587	0.5903183	0.5795609	1.7863435	3.380317	1.8309404	1.6677917	0.5155488	0.2473652	1.4072079	0.8850763	1.6335899	1.2236761	1.7696286	3.5876305	1.8057228	1.7768164	3.8882664	2.1215546	2.8612039	1.5193101	4.2681838	3.879698	1.8524428	4.1958513	4.0587667	3.4291937	3.2098719	2.7609176	1.8245083	1.6604281	1.4041143	0.8963062	0.5155602	1.6565294	1.3885714	0.824139	1.8222468	1.572124	1.0854651	3.4522946	4.3269075	4.2627218	3.8818393	1.8447923	4.2027361	4.1204689	3.8979824	3.5044653	2.7358978	1.7681055	1.4788644	0.8988475	1.7209936	1.2475819	2.2874833	1.6435534	1.1137166	3.9482472	3.3222167	1.9083273	1.8506864	1.7667552	1.5646561	1.1348906	0.6090871	0.5903198	0.5795328	1.654016	1.8682506	1.8332101	1.7580567	1.6087985	1.4122422	0.5154921	0.2473462	1.1152263	0.5984793	1.5425665	1.1456974	1.760132	1.5479842	1.105228	1.546316	1.6986968	2.1922601	1.5784582	3.3466761	2.031913	1.5930056	1.0678741	4.0767065	3.4963988	1.6711858	1.6615049
run4	4.5137292	4.4326718	4.3224987	4.2532774	3.8607368	1.827379	4.1894297	4.1102879	3.9161636	3.5588934	2.4389147	1.6623916	1.1577868	2.9327974	1.8173486	1.6017628	1.2612955	0.6042244	1.746791	1.2881858	3.9524238	3.3242876	1.9081434	1.848637	1.7614467	1.5607652	1.1120495	0.6091595	0.5904466	0.5795644	1.6409938	1.8688121	1.8337628	1.7573035	1.6101591	1.4139543	0.515347	0.2472186	1.1048565	0.5942916	1.540726	1.1345525	1.7513898	1.5513395	1.0936049	1.5427031	1.7001003	2.2708617	1.5950768	3.371921	2.0088628	1.6022788	1.0645874	4.071427	3.507674	1.6882525	1.6776682	4.3432904	4.2628858	3.7131764	4.188621	4.0544271	3.4351475	3.22991	2.8518764	1.8354193	1.6751473	0.5153201	0.2470885	1.4294027	0.9331085	1.6913449	1.4569693	0.9784355	1.3570002	1.8733819	1.619652	1.173031	1.5294901	3.4427816	4.2724661	4.1836005	4.0310376	3.5381484	2.4908796	1.6258775	0.6091244	0.5903126	0.5793956	1.8210541	3.5149927	1.8379956	1.6694946	0.5156177	0.2471453	1.4147294	0.8625101	1.5524945	1.8229099	3.8308963	1.9099169	2.7353068	1.5159997	4.1684745	4.0300813	3.8237131	3.4619744	1.9374625	1.4458055	2.9260306	1.8839313	1.4849546	1.6896846	1.2667426	1.4439156	1.0955919	0.5901026	1.65619	3.0009501	1.7388761	1.265505	4.4349815	4.3461569	4.285238	4.189983	4.0520503	3.8104127	3.3087378	1.9528645	1.6461495	1.1447966	1.1566847	1.8139837	1.3557159	2.989452	1.719027	1.2191098	3.5844671	2.2900316	1.6039589	1.0680916	3.6880358	1.7539325	4.2181456	4.1104806	3.8539864	3.4218759	2.3262581	1.6542289	1.198829	0.6091715	0.5904487	0.5793994	1.7802996	3.3863009	1.8324968	1.6659277	0.5157202	0.2473169	1.4146033	0.8925309	1.6320299	1.2161402	1.7803617	3.5849381	1.8056479	1.7681497	3.8991871	2.2336347	2.895616	1.5272324	4.263418	3.8879711	1.9205273	4.1885934	4.0533987	3.4327118	3.2030662	2.7615961	1.8264798	1.6537565	1.4057841	0.8993681	0.5153692	1.6564161	1.402293	0.8590565	1.8251712	1.5780435	1.0828821	3.4941274	4.3255965	4.260518	3.8856349	1.8297146	4.1923901	4.1126021	3.9000534	3.5090084	2.7449973	1.7568578	1.4657289	0.8942752	1.7142435	1.2388358	2.2996827	1.6503683	1.1443813	3.9487181	3.3160672	1.9074615	1.8536105	1.7636314	1.5677878	1.1339372	0.6090291	0.5904328	0.5792136	1.6452094	1.8681931	1.8334769	1.7562968	1.6102823	1.4191654	0.5153608	0.2472149	1.1152662	0.595562	1.5422146	1.1326708	1.7565505	1.5477816	1.0940306	1.5529223	1.7067678	2.1961446	1.5762167	3.349916	2.0276209	1.6030175	1.0645615	4.0828198	3.5115094	1.6747176	1.6647983
run5	4.5141314	4.4315864	4.3204891	4.2591216	3.8714904	1.8607611	4.2073158	4.1313586	3.9373874	3.59263	2.4464706	1.6563296	1.160564	2.9404874	1.8197029	1.6002054	1.2570832	0.6045627	1.753578	1.2938972	3.9664445	3.3267242	1.9068485	1.8511157	1.7695331	1.5574965	1.117654	0.6091077	0.5904837	0.579352	1.6478942	1.8674016	1.833201	1.7580451	1.6071574	1.4061064	0.5151743	0.2472662	1.1116664	0.5953639	1.5424725	1.1370805	1.7586027	1.5514451	1.1116347	1.5481037	1.7022586	2.2583764	1.5916324	3.3687581	2.0323755	1.5920639	1.0689594	4.0801149	3.5013989	1.6869789	1.6724456	4.34093	4.2660008	3.6763257	4.1942353	4.0624477	3.4389417	3.2213131	2.8235846	1.8357945	1.6736611	0.5155891	0.2473806	1.4212155	0.881916	1.6952254	1.4513225	0.9632786	1.3530225	1.8628338	1.6216313	1.183507	1.5276919	3.4562503	4.2763083	4.2027131	4.0413483	3.5669698	2.5149618	1.6289643	0.6091162	0.590356	0.5785956	1.8309559	3.543161	1.8400453	1.6799691	0.515578	0.2471051	1.4255919	0.9022501	1.5673822	1.8220003	3.8536088	2.0559496	2.615719	1.4968469	4.183134	4.0643299	3.8653648	3.5134915	1.9407582	1.4468008	2.9584833	1.8888397	1.4914689	1.7037671	1.2786879	1.4675773	1.1249198	0.5914085	1.6620745	3.0556174	1.743144	1.2324571	4.4354965	4.3477862	4.2869423	4.19768	4.0582816	3.8071349	3.2804746	2.0403742	1.6662982	1.1718586	1.1525706	1.8064918	1.3655227	2.9476224	1.721177	1.2251274	3.5997384	2.2708697	1.6131792	1.0676679	3.737021	1.7619991	4.2222416	4.1175658	3.8462253	3.393052	2.2776886	1.6478223	1.1931994	0.6091376	0.5903101	0.5786354	1.7836339	3.3783806	1.833787	1.6693992	0.5153856	0.2472975	1.4059003	0.8775762	1.6305652	1.2287187	1.7832867	3.5925472	1.8131052	1.7737897	3.9126089	2.0796967	2.8936738	1.5087784	4.273564	3.8774517	1.8516167	4.1996644	4.0707521	3.435067	3.1981109	2.7689756	1.8247577	1.6655467	1.4077331	0.8803295	0.5155201	1.6650349	1.404248	0.8501136	1.8259174	1.5711187	1.0932387	3.4702187	4.3270281	4.2629684	3.8821397	1.8396338	4.2084089	4.1332584	3.915576	3.5102737	2.7330119	1.7680168	1.4766224	0.8976466	1.7223308	1.260955	2.348277	1.6441983	1.1579003	3.9571654	3.3085449	1.9064469	1.851811	1.7661364	1.5683398	1.1076144	0.6091618	0.5904292	0.5790643	1.6398587	1.866349	1.8317941	1.7628089	1.6146811	1.416472	0.5151958	0.2470294	1.1069065	0.594813	1.5464491	1.1540639	1.7582907	1.552642	1.1102625	1.5477897	1.7027369	2.2590319	1.5908991	3.3770939	2.0084725	1.6012893	1.0742815	4.094614	3.470619	1.6847438	1.6817741
run6	4.5138621	4.4293596	4.3324035	4.2634788	3.8676337	1.8538676	4.2027417	4.1231968	3.9293864	3.5682956	2.4563498	1.6534162	1.1600911	2.9613227	1.8151037	1.5946018	1.2605893	0.6028965	1.7555228	1.3070172	3.9568214	3.3290129	1.9076242	1.8525282	1.7646813	1.569171	1.1237063	0.6091487	0.5903661	0.5791122	1.6432832	1.8688217	1.8345779	1.7560332	1.613301	1.3998914	0.5154096	0.2470319	1.1156219	0.5970873	1.5397443	1.1438656	1.756116	1.5434255	1.1013032	1.5381341	1.6961866	2.2240057	1.5717363	3.3833865	2.0271571	1.6016861	1.0711624	4.0785488	3.4938331	1.6697611	1.6712029	4.3442417	4.2663943	3.7048001	4.1989603	4.0690249	3.4376184	3.2294991	2.8315017	1.8345265	1.6799656	0.5155322	0.2472851	1.4175947	0.9428358	1.7012958	1.4777028	0.993594	1.3556313	1.879988	1.6334218	1.1598276	1.5241428	3.4612642	4.2807555	4.1928952	4.0386662	3.5557748	2.5549209	1.6351601	0.609107	0.5902464	0.5787447	1.803538	3.5444347	1.8390663	1.677252	0.5155473	0.247535	1.4149134	0.8669791	1.5591072	1.8294663	3.8720856	1.9805895	2.6554148	1.5030014	4.1747261	4.0525892	3.8493708	3.5056181	1.9975691	1.454545	2.939254	1.882143	1.4937176	1.7019076	1.2551184	1.4578506	1.105061	0.5911917	1.6487888	3.0646457	1.7229831	1.2547443	4.4347926	4.3525696	4.288672	4.1918704	4.0573835	3.8038904	3.2968357	1.9511284	1.6411802	1.1679048	1.1705268	1.8045463	1.3568034	2.955988	1.7070257	1.2130843	3.5597134	2.3192214	1.6140807	1.0738324	3.6934619	1.7575493	4.2139109	4.103388	3.8413441	3.3766835	2.2576385	1.6528506	1.193525	0.6091603	0.5903974	0.5791187	1.7649499	3.3839317	1.8306295	1.6645411	0.5154518	0.2470611	1.4036154	0.8737205	1.6306245	1.2336026	1.772082	3.5868536	1.8029723	1.7672155	3.9088559	2.0821551	2.8759699	1.5231209	4.2732277	3.8901559	1.862522	4.1875791	4.0625386	3.4346013	3.2067761	2.7740256	1.8217313	1.6543258	1.3999369	0.9217884	0.5154172	1.6500302	1.393781	0.8433685	1.8243105	1.5688573	1.085737	3.4828604	4.3342219	4.2649521	3.8668097	1.8514026	4.1991884	4.1228828	3.8994784	3.5188432	2.7808619	1.7683747	1.4712686	0.9108472	1.7276843	1.28587	2.3157955	1.6489404	1.1249435	3.9442585	3.3156627	1.9078417	1.8505671	1.7624141	1.5601812	1.1084949	0.6090645	0.5903217	0.5789182	1.6497142	1.8673324	1.833683	1.7586823	1.6086867	1.4086496	0.5153293	0.2472291	1.1036611	0.5949971	1.5480951	1.1418722	1.7521876	1.5427739	1.105931	1.5504068	1.6944679	2.2469194	1.5620428	3.3654408	1.9676675	1.5991802	1.0858602	4.0797714	3.5141944	1.6812977	1.6683252
