Calib;node;Prior
ROOT;244;'U(4.520,1e-300)'
LUCA;245;'[#1 B{3.3470,4.5200,1e-300,1e-300}]'
LUCA-DUP;364;'[#1]'
LECA;266;'[#12 B{1.0856,1.8796,0.0250,0.0250}]'
LECA-DUP;452;'[#12]'
TG-OXYPHOTOBACTERIA;304;'[#10 B{2.945,4.5200,1e-300,1e-300}]'
TG-OXYPHOTOBACTERIA-DUP;418;'[#10]'
CG-OXYPHOTOBACTERIA;305;'[#9 B{2.0136,3.4480,0.0250,0.0250}]'
CG-OXYPHOTOBACTERIA-DUP;419;'[#9]'
TG-EUKARYA-ARCH;265;'[#7 B{1.6191,3.4480,1e-300,1e-300}]'
TG-EUKARYA-ARCH-DUP;451;'[#7]'
TG-EUKARYA-MITO;325;'[#8 B{1.0856,4.5200,0.0250,1e-300}]'
TG-EUKARYA-MITO-DUP;387;'[#8]'
ARCHAEPLASTIDA;277;'[#6 B{1.0300,1.8796,1e-300,1e-300}]'
ARCHAEPLASTIDA-DUP1;308;'[#6]'
ARCHAEPLASTIDA-DUP2;334;'[#6]'
ARCHAEPLASTIDA-DUP3;398;'[#6]'
ARCHAEPLASTIDA-DUP4;422;'[#6]'
ARCHAEPLASTIDA-DUP5;463;'[#6]'
EMBRYOPHYTA;279;'[#5 B{0.4305,0.5155,1e-300,0.0250}]'
EMBRYOPHYTA-DUP1;310;'[#5]'
EMBRYOPHYTA-DUP2;336;'[#5]'
EMBRYOPHYTA-DUP3;400;'[#5]'
EMBRYOPHYTA-DUP4;425;'[#5]'
EMBRYOPHYTA-DUP5;465;'[#5]'
EUDICOT-MONOCOT;280;'[#4 B{0.1250,0.2472,1e-300,0.0250}]'
EUDICOT-MONOCOT-DUP1;311;'[#4]'
EUDICOT-MONOCOT-DUP2;337;'[#4]'
EUDICOT-MONOCOT-DUP3;401;'[#4]'
EUDICOT-MONOCOT-DUP4;466;'[#4]'
CG-FORAMINIFERA;288;'[#11 B{0.5225,1.8910,1e-300,1e-300}]'
CG-FORAMINIFERA-DUP1;409;'[#11]'
CG-FORAMINIFERA-DUP2;474;'[#11]'
FUNGI;269;'[#2 B{0.3921,1.8910,1e-300,0.0250}]'
FUNGI-DUP1;328;'[#2]'
FUNGI-DUP2;391;'[#2]'
FUNGI-DUP;455;'[#2]'
EUMETAZOA;272;'[#3 B{0.5611,0.5908,1e-300,0.0250}]'
EUMETAZOA-DUP1;330;'[#3]'
EUMETAZOA-DUP2;394;'[#3]'
EUMETAZOA-DUP3;458;'[#3]'
METAZOA;271;'[#13 B{0.5740,0.6090,1e-300,0.0250}]'
METAZOA;329;'[#13]'
METAZOA;393;'[#13]'
METAZOA;457;'[#13]'
