Calib;node;Prior
ROOT;247;'U(4.520,1e-300)'
LUCA;248;'[#1 B{3.3470,4.5200,1e-300,1e-300}]'
LUCA-DUP;368;'[#1]'
LECA;269;'[#12 B{1.0856,1.8796,0.0250,0.0250}]'
LECA-DUP;457;'[#12]'
TG-OXYPHOTOBACTERIA;308;'[#10 B{2.945,4.5200,1e-300,1e-300}]'
TG-OXYPHOTOBACTERIA-DUP;422;'[#10]'
CG-OXYPHOTOBACTERIA;309;'[#9 B{2.0136,3.4480,0.0250,0.0250}]'
CG-OXYPHOTOBACTERIA-DUP;423;'[#9]'
TG-EUKARYA-ARCH;268;'[#7 B{1.6191,3.4480,1e-300,1e-300}]'
TG-EUKARYA-ARCH-DUP;456;'[#7]'
TG-EUKARYA-MITO;329;'[#8 B{1.0856,4.5200,0.0250,1e-300}]'
TG-EUKARYA-MITO-DUP;391;'[#8]'
ARCHAEPLASTIDA;280;'[#6 B{1.0300,1.8796,1e-300,1e-300}]'
ARCHAEPLASTIDA-DUP1;312;'[#6]'
ARCHAEPLASTIDA-DUP2;338;'[#6]'
ARCHAEPLASTIDA-DUP3;402;'[#6]'
ARCHAEPLASTIDA-DUP4;426;'[#6]'
ARCHAEPLASTIDA-DUP5;468;'[#6]'
EMBRYOPHYTA;283;'[#5 B{0.4305,0.5155,1e-300,0.0250}]'
EMBRYOPHYTA-DUP1;314;'[#5]'
EMBRYOPHYTA-DUP2;340;'[#5]'
EMBRYOPHYTA-DUP3;404;'[#5]'
EMBRYOPHYTA-DUP4;430;'[#5]'
EMBRYOPHYTA-DUP5;471;'[#5]'
EUDICOT-MONOCOT;284;'[#4 B{0.1250,0.2472,1e-300,0.0250}]'
EUDICOT-MONOCOT-DUP1;315;'[#4]'
EUDICOT-MONOCOT-DUP2;341;'[#4]'
EUDICOT-MONOCOT-DUP3;405;'[#4]'
EUDICOT-MONOCOT-DUP4;472;'[#4]'
CG-FORAMINIFERA;292;'[#11 B{0.5225,1.8910,1e-300,1e-300}]'
CG-FORAMINIFERA-DUP1;413;'[#11]'
CG-FORAMINIFERA-DUP2;480;'[#11]'
FUNGI;272;'[#2 B{0.3921,1.8910,1e-300,0.0250}]'
FUNGI-DUP1;332;'[#2]'
FUNGI-DUP2;395;'[#2]'
FUNGI-DUP;460;'[#2]'
EUMETAZOA;275;'[#3 B{0.5611,0.5908,1e-300,0.0250}]'
EUMETAZOA-DUP1;334;'[#3]'
EUMETAZOA-DUP2;398;'[#3]'
EUMETAZOA-DUP3;463;'[#3]'
METAZOA;274;'[#13 B{0.5740,0.6090,1e-300,0.0250}]'
METAZOA;333;'[#13]'
METAZOA;397;'[#13]'
METAZOA;462;'[#13]'
