label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n247_ROOT	4494.695	4428.58	4519.35	t_n247_ROOT	4496.704	4435.01	4519.41	t_n247_ROOT	4475.072	4357.15	4518.83	t_n247_ROOT	4485.318	4394.73	4519.1	t_n247_ROOT	4487.061	4400.47	4519.16	t_n247_ROOT	4478.992	4371.51	4518.96	t_n242_ROOT	4489.068	4408.77	4519.21	t_n237_ROOT	4496.035	4433.26	4519.37	t_n244_ROOT	4496.432	4434.46	4519.4	t_n247_ROOT	4491.996	4418.95	4519.28	t_n245_ROOT	4492.327	4420.53	4519.29	t_n247_ROOT	4491.941	4418.81	4519.26
t_n248_LUCA	4274.561	4180.49	4349.79	t_n248_LUCA	4400.765	4301.31	4472.88	t_n248_LUCA	4094.587	3878.47	4268.18	t_n248_LUCA	4356.543	4241.45	4439.17	t_n248_LUCA	4257.52	4096.26	4389.01	t_n248_LUCA	4372.942	4199.28	4485.76	t_n243_LUCA	4225.349	4112.82	4316.35	t_n238_LUCA	4314.612	4227.42	4383.25	t_n245_LUCA	4263.249	4165.7	4342.33	t_n248_LUCA	4285.106	4184.61	4363.36	t_n246_LUCA	4270.024	4168.78	4349.73	t_n248_LUCA	4260.907	4156.81	4343.33
t_n268_TG-EUKARYA-ARCH	2251.302	2040.24	2477.66	t_n268_TG-EUKARYA-ARCH	2416.313	2126.54	2714.95	t_n268_TG-EUKARYA-ARCH	2598.017	2208.67	3013.64	t_n268_TG-EUKARYA-ARCH	2365.439	2036.37	2700.95	t_n268_TG-EUKARYA-ARCH	2881.529	2528.89	3223.99	t_n268_TG-EUKARYA-ARCH	2669.464	2227.17	3152.68	t_n263_TG-EUKARYA-ARCH	2287.408	2060.28	2528.41	t_n258_TG-EUKARYA-ARCH	2302.017	2092.73	2521.87	t_n265_TG-EUKARYA-ARCH	2313.11	2080.73	2558.56	t_n268_TG-EUKARYA-ARCH	2265.605	2038.96	2507.11	t_n266_TG-EUKARYA-ARCH	2324.093	2092.57	2568.83	t_n268_TG-EUKARYA-ARCH	2289.32	2063.92	2527.73
t_n269_LECA	1293.646	1200.67	1411.81	t_n269_LECA	1552.366	1349.93	1778.48	t_n269_LECA	1782.75	1544.1	1916.05	t_n269_LECA	1414.616	1206.29	1678.25	t_n269_LECA	1554.183	1319.15	1808.7	t_n269_LECA	1840.863	1677.23	1944.62	t_n264_LECA	1279.151	1176.8	1409.93	t_n259_LECA	1313.886	1212.33	1439.15	t_n266_LECA	1392.31	1261.81	1546.58	t_n269_LECA	1345.886	1229.54	1489.2	t_n267_LECA	1315.581	1206.41	1450.7	t_n269_LECA	1313.442	1207.18	1444.33
t_n272_FUNGI	683.842	586.32	788.89	t_n272_FUNGI	801.702	600.76	1024.86	t_n272_FUNGI	654.58	407.79	1068.91	t_n272_FUNGI	578.237	419.56	788.3	t_n272_FUNGI	857.286	598.49	1152.57	t_n272_FUNGI	818.484	424.03	1359.36	t_n267_FUNGI	589.541	477.84	712.44	t_n262_FUNGI	749.826	645.74	862.37	t_n269_FUNGI	686.107	562.98	819.67	t_n272_FUNGI	683.59	571.37	806.88	t_n270_FUNGI	702.856	596.99	817.94	t_n272_FUNGI	697.615	591.21	813.93
t_n274_METAZOA	605.449	594.59	611	t_n274_METAZOA	596.581	577.03	609.46	t_n274_METAZOA	597.312	577.37	609.61	t_n274_METAZOA	600.455	581.55	610.02	t_n274_METAZOA	596.17	576.7	609.43	t_n274_METAZOA	594.14	575.75	609.15	t_n269_METAZOA	604.303	591.25	610.71	t_n264_METAZOA	604.233	591.17	610.66	t_n271_METAZOA	603.413	588.89	610.51	t_n274_METAZOA	604.772	592.63	610.81	t_n272_METAZOA	604.747	592.62	610.83	t_n274_METAZOA	606.431	597.42	611.42
t_n275_EUMETAZOA	566.192	561.25	577.65	t_n275_EUMETAZOA	574.206	561.7	590.1	t_n275_EUMETAZOA	573.313	561.6	589.84	t_n275_EUMETAZOA	570.756	561.42	587.94	t_n275_EUMETAZOA	573.673	561.64	589.95	t_n275_EUMETAZOA	574.742	561.75	590.31	t_n270_EUMETAZOA	567.369	561.29	581.15	t_n265_EUMETAZOA	567.828	561.31	581.96	t_n272_EUMETAZOA	568.281	561.33	583.27	t_n275_EUMETAZOA	566.982	561.28	579.87	t_n273_EUMETAZOA	566.947	561.27	579.76	t_n275_EUMETAZOA	565.197	561.22	574.78
t_n280_ARCHAEPLASTIDA	1102.579	1035.3	1201.82	t_n280_ARCHAEPLASTIDA	1269.565	1096.65	1462.51	t_n280_ARCHAEPLASTIDA	1498.847	1234.91	1728.61	t_n280_ARCHAEPLASTIDA	1180.519	1040.05	1398.55	t_n280_ARCHAEPLASTIDA	1387.099	1170.72	1622.68	t_n280_ARCHAEPLASTIDA	1601.3	1373.93	1790.28	t_n275_ARCHAEPLASTIDA	1112.123	1035.97	1224.86	t_n270_ARCHAEPLASTIDA	1115.162	1037.49	1221.43	t_n277_ARCHAEPLASTIDA	1156.218	1050.19	1285.66	t_n280_ARCHAEPLASTIDA	1126.952	1039.47	1246	t_n278_ARCHAEPLASTIDA	1125.759	1039.79	1241.71	t_n280_ARCHAEPLASTIDA	1128.214	1042.22	1239.63
t_n283_EMBRYOPHYTA	446.185	431	482.52	t_n283_EMBRYOPHYTA	467.936	432.12	513.89	t_n283_EMBRYOPHYTA	478.922	433.72	516.13	t_n283_EMBRYOPHYTA	477.864	433.62	515.83	t_n283_EMBRYOPHYTA	472.222	432.58	515.12	t_n283_EMBRYOPHYTA	469.122	432.12	514.49	t_n278_EMBRYOPHYTA	451.548	431.2	496.67	t_n273_EMBRYOPHYTA	467.231	432.48	512.18	t_n279_EMBRYOPHYTA	448.292	431.04	490.8	t_n283_EMBRYOPHYTA	446.53	431	484.37	t_n281_EMBRYOPHYTA	457.889	431.62	505.37	t_n283_EMBRYOPHYTA	443.666	430.91	475.38
t_n284_EUDICOT-MONOCOT	249.716	235.23	267.98	t_n284_EUDICOT-MONOCOT	196.318	133.84	247.03	t_n284_EUDICOT-MONOCOT	238.665	206.61	256.13	t_n284_EUDICOT-MONOCOT	221.202	165.7	250.75	t_n284_EUDICOT-MONOCOT	185.647	127.78	246.99	t_n284_EUDICOT-MONOCOT	204.829	134.01	249.37	t_n279_EUDICOT-MONOCOT	248.036	232.25	265.16	t_n274_EUDICOT-MONOCOT	227.975	187.98	251.12	t_n280_EUDICOT-MONOCOT	249.075	233.59	267.62	t_n284_EUDICOT-MONOCOT	249.538	234.8	267.72	t_n282_EUDICOT-MONOCOT	246.883	230.53	262.74	t_n284_EUDICOT-MONOCOT	250.2	236.14	268.57
