label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n292_CG-FORAMINIFERA	753.839	569.35	961.83	t_n292_CG-FORAMINIFERA	792.359	556.55	1080.84	t_n292_CG-FORAMINIFERA	871.369	537.09	1399.02	t_n292_CG-FORAMINIFERA	902.327	570.97	1274.83	t_n292_CG-FORAMINIFERA	812.553	554.64	1141.84	t_n292_CG-FORAMINIFERA	887.73	537.52	1459.53	t_n287_CG-FORAMINIFERA	808.125	583.46	1057.3	t_n282_CG-FORAMINIFERA	769.431	581.74	976.38	t_n288_CG-FORAMINIFERA	736.36	550.56	962.99	t_n292_CG-FORAMINIFERA	734.426	551.44	956.66	t_n290_CG-FORAMINIFERA	783.513	584.54	1001.77	t_n292_CG-FORAMINIFERA	741.104	557.55	956.41
t_n308_TG-OXYPHOTOBACTERIA	2985.231	2946.07	3087.4	t_n308_TG-OXYPHOTOBACTERIA	3035.985	2947.64	3245.77	t_n308_TG-OXYPHOTOBACTERIA	3271.453	2960.26	3746.58	t_n308_TG-OXYPHOTOBACTERIA	3081.873	2949.53	3360.72	t_n308_TG-OXYPHOTOBACTERIA	3121.452	2951.2	3456.73	t_n308_TG-OXYPHOTOBACTERIA	3310.577	2962.23	3826.71	t_n303_TG-OXYPHOTOBACTERIA	3005.619	2946.66	3153.28	t_n297_TG-OXYPHOTOBACTERIA	2991.198	2946.25	3106.54	t_n304_TG-OXYPHOTOBACTERIA	2994.566	2946.33	3118.37	t_n308_TG-OXYPHOTOBACTERIA	2991.617	2946.26	3108.54	t_n305_TG-OXYPHOTOBACTERIA	2987.439	2946.13	3095.18	t_n308_TG-OXYPHOTOBACTERIA	2991.615	2946.24	3108.04
t_n309_CG-OXYPHOTOBACTERIA	2128.849	1956.9	2391.43	t_n309_CG-OXYPHOTOBACTERIA	2274.606	1986.15	2690.91	t_n309_CG-OXYPHOTOBACTERIA	2558.136	2020.07	3231.35	t_n309_CG-OXYPHOTOBACTERIA	2396.935	2038.18	2798.35	t_n309_CG-OXYPHOTOBACTERIA	2310.803	2004.64	2730.42	t_n309_CG-OXYPHOTOBACTERIA	2374.988	1989.04	3019.06	t_n304_CG-OXYPHOTOBACTERIA	2181.775	1977.03	2486.33	t_n298_CG-OXYPHOTOBACTERIA	2155.899	1972.97	2426.01	t_n305_CG-OXYPHOTOBACTERIA	2136.278	1951	2434.96	t_n309_CG-OXYPHOTOBACTERIA	2135.85	1954.23	2422.67	t_n306_CG-OXYPHOTOBACTERIA	2140.763	1963.59	2412.32	t_n309_CG-OXYPHOTOBACTERIA	2127.215	1954.34	2396.3
t_n312_ARCHAEPLASTIDA-DUP1	1357.072	1221.6	1498.27	t_n312_ARCHAEPLASTIDA-DUP1	1327.832	1132.05	1530.76	t_n312_ARCHAEPLASTIDA-DUP1	1465.003	1173.79	1721.69	t_n312_ARCHAEPLASTIDA-DUP1	1531.806	1326.71	1720.02	t_n312_ARCHAEPLASTIDA-DUP1	1594.521	1388.74	1772.29	t_n312_ARCHAEPLASTIDA-DUP1	1493.675	1200.2	1742.81	t_n307_ARCHAEPLASTIDA-DUP1	1430.107	1272.28	1588.01	t_n301_ARCHAEPLASTIDA-DUP1	1376.805	1240.28	1517.3	t_n308_ARCHAEPLASTIDA-DUP1	1317.576	1164.14	1477.06	t_n312_ARCHAEPLASTIDA-DUP1	1319.104	1175.78	1469.39	t_n309_ARCHAEPLASTIDA-DUP1	1403.504	1261.69	1546.42	t_n312_ARCHAEPLASTIDA-DUP1	1363.407	1223.04	1510.09
t_n314_EMBRYOPHYTA-DUP1	475.019	433.47	515.22	t_n314_EMBRYOPHYTA-DUP1	468.015	432.1	514.03	t_n314_EMBRYOPHYTA-DUP1	472.699	432.56	515.22	t_n314_EMBRYOPHYTA-DUP1	477.036	433.35	515.88	t_n314_EMBRYOPHYTA-DUP1	478.153	433.56	516.01	t_n314_EMBRYOPHYTA-DUP1	472.823	432.56	515.25	t_n309_EMBRYOPHYTA-DUP1	480.256	434.5	516.11	t_n303_EMBRYOPHYTA-DUP1	478.883	434.27	515.86	t_n310_EMBRYOPHYTA-DUP1	469.826	432.43	514.32	t_n314_EMBRYOPHYTA-DUP1	471.349	432.68	514.54	t_n311_EMBRYOPHYTA-DUP1	475.881	433.52	515.37	t_n314_EMBRYOPHYTA-DUP1	466.801	432.15	513.13
t_n315_EUDICOT-MONOCOT-DUP1	239.882	212.33	256.18	t_n315_EUDICOT-MONOCOT-DUP1	188.662	129.68	246.36	t_n315_EUDICOT-MONOCOT-DUP1	214.255	144.42	250.44	t_n315_EUDICOT-MONOCOT-DUP1	211.498	143.32	249.81	t_n315_EUDICOT-MONOCOT-DUP1	187.689	128.13	247.17	t_n315_EUDICOT-MONOCOT-DUP1	196.255	130.21	248.23	t_n310_EUDICOT-MONOCOT-DUP1	240.653	213.7	256.86	t_n316_TG-EUKARYA-MITO	1822.793	1606.11	2075.12	t_n311_EUDICOT-MONOCOT-DUP1	236.191	201.23	254.65	t_n315_EUDICOT-MONOCOT-DUP1	238.817	209.49	255.63	t_n312_EUDICOT-MONOCOT-DUP1	236.792	204.04	254.66	t_n315_EUDICOT-MONOCOT-DUP1	239.844	212.29	256.09
t_n329_TG-EUKARYA-MITO	1851.98	1634.36	2105.92	t_n329_TG-EUKARYA-MITO	2165.321	1717.88	2703.9	t_n329_TG-EUKARYA-MITO	2824.898	1991.15	3632.29	t_n329_TG-EUKARYA-MITO	2010.725	1666.45	2466.14	t_n329_TG-EUKARYA-MITO	2875.584	2117.01	3523.12	t_n329_TG-EUKARYA-MITO	2886.878	2085.93	3627.67	t_n324_TG-EUKARYA-MITO	1998.221	1728.12	2311.19	t_n319_FUNGI-DUP1	963.018	780.33	1156.02	t_n325_TG-EUKARYA-MITO	1937.384	1660.75	2279.35	t_n329_TG-EUKARYA-MITO	1865.937	1626.71	2147.64	t_n326_TG-EUKARYA-MITO	1907.347	1676.91	2177.89	t_n329_TG-EUKARYA-MITO	1769.039	1562.38	2010.53
t_n332_FUNGI-DUP1	913.297	737.25	1100.93	t_n332_FUNGI-DUP1	858.59	602.52	1144.44	t_n332_FUNGI-DUP1	886.934	467.06	1384.14	t_n332_FUNGI-DUP1	877.201	560.87	1223.07	t_n332_FUNGI-DUP1	963.864	643.4	1312.34	t_n332_FUNGI-DUP1	900.5	447.11	1441.48	t_n327_FUNGI-DUP1	915.612	710.06	1137.09	t_n320_METAZOA	603.608	589.68	610.54	t_n328_FUNGI-DUP1	860.756	662.09	1075.95	t_n332_FUNGI-DUP1	886.018	698.85	1087.79	t_n329_FUNGI-DUP1	924.789	739.29	1122.45	t_n332_FUNGI-DUP1	900.942	721.45	1093.26
t_n333_METAZOA	605.04	593.53	610.89	t_n333_METAZOA	596.895	577.23	609.52	t_n333_METAZOA	595.877	576.55	609.4	t_n333_METAZOA	599.088	579.47	609.81	t_n333_METAZOA	596.718	577	609.52	t_n333_METAZOA	594.482	575.89	609.21	t_n328_METAZOA	604.135	590.62	610.68	t_n321_EUMETAZOA-DUP1	568.282	561.33	582.96	t_n329_METAZOA	603.248	588.63	610.46	t_n333_METAZOA	604.348	591.58	610.71	t_n330_METAZOA	604.574	592.19	610.77	t_n333_METAZOA	605.032	593.65	610.87
t_n334_EUMETAZOA-DUP1	566.837	561.28	579.27	t_n334_EUMETAZOA-DUP1	572.863	561.57	589.57	t_n334_EUMETAZOA-DUP1	574.084	561.68	590.15	t_n334_EUMETAZOA-DUP1	572.358	561.52	589.24	t_n334_EUMETAZOA-DUP1	573.517	561.61	589.91	t_n334_EUMETAZOA-DUP1	574.493	561.72	590.21	t_n329_EUMETAZOA-DUP1	568.298	561.32	583.31	t_n325_ARCHAEPLASTIDA-DUP2	1376.805	1240.28	1517.3	t_n330_EUMETAZOA-DUP1	568.251	561.32	583.12	t_n334_EUMETAZOA-DUP1	567.586	561.3	581.35	t_n331_EUMETAZOA-DUP1	567.376	561.29	580.71	t_n334_EUMETAZOA-DUP1	566.665	561.27	578.68
t_n338_ARCHAEPLASTIDA-DUP2	1357.072	1221.6	1498.27	t_n338_ARCHAEPLASTIDA-DUP2	1327.832	1132.05	1530.76	t_n338_ARCHAEPLASTIDA-DUP2	1465.003	1173.79	1721.69	t_n338_ARCHAEPLASTIDA-DUP2	1531.806	1326.71	1720.02	t_n338_ARCHAEPLASTIDA-DUP2	1594.521	1388.74	1772.29	t_n338_ARCHAEPLASTIDA-DUP2	1493.675	1200.2	1742.81	t_n331_ARCHAEPLASTIDA-DUP2	1430.107	1272.28	1588.01	t_n351_LUCA-DUP	4220.534	4076.59	4340.1	t_n334_ARCHAEPLASTIDA-DUP2	1317.576	1164.14	1477.06	t_n338_ARCHAEPLASTIDA-DUP2	1319.104	1175.78	1469.39	t_n335_ARCHAEPLASTIDA-DUP2	1403.504	1261.69	1546.42	t_n338_ARCHAEPLASTIDA-DUP2	1363.407	1223.04	1510.09
