t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	t_n436	t_n437	t_n438	t_n439	t_n440	t_n441	t_n442	t_n443	t_n444	t_n445	t_n446	t_n447	t_n448	t_n449	t_n450	t_n451	t_n452	t_n453	t_n454	t_n455	t_n456	t_n457	t_n458	t_n459	t_n460	t_n461	t_n462	t_n463	t_n464	t_n465	t_n466	t_n467	t_n468	t_n469	t_n470	t_n471
run1	4.5187555	4.508011	4.475615	4.4219743	4.1796859	3.4890919	4.3467826	4.2500847	4.1207592	3.976592	3.6296708	3.1446385	2.3828259	3.7761557	3.525374	3.1265261	2.6210199	1.9305137	3.334648	2.6242926	4.0448754	3.4003234	1.9411544	1.8716563	1.750009	1.5345582	1.1709199	0.6091246	0.5902956	0.5605453	1.6469772	1.8961443	1.8466814	1.7749217	1.6543591	1.4839087	0.5153439	0.2474204	1.2511197	0.9196914	1.6725064	1.4107758	1.7434399	1.5420307	1.1327503	1.5007586	1.6978527	3.050695	2.3985621	3.7645949	3.3497681	2.8101389	2.0607035	4.3405979	3.8977292	2.5877153	4.484912	4.4147629	4.1608169	4.2842036	4.0401097	3.4608235	3.3197755	3.0729097	1.7749217	1.4839087	0.5153439	1.2511197	0.9196914	1.6725064	1.1327503	1.394591	2.7747668	2.3463846	1.7440781	2.1921747	3.809969	4.4475711	4.3633026	4.1973189	1.8716563	1.750009	1.5345582	0.6091246	0.5902956	0.5605453	1.6469772	3.4452191	1.7749217	1.4839087	1.6725064	2.6619642	4.1149109	3.1643945	3.3551633	2.5354617	4.3953084	4.3037989	4.1818856	4.0159421	3.2801225	2.5734435	3.8152556	3.581861	2.9572549	3.2778686	2.6032465	2.8810036	2.3711454	1.7221507	3.2185979	3.8586642	3.26558	1.870902	4.508011	4.484912	4.4475711	4.3953084	4.2986758	4.153965	3.9204393	3.561045	3.0613768	2.3243409	1.870902	3.2801225	2.5734435	3.8447593	3.3490033	2.5611894	4.0412701	3.5642719	2.7298467	4.1532642	3.4835929	4.3633026	4.1973189	3.9117574	1.8716563	1.750009	1.5345582	1.1709199	0.6091246	0.5902956	0.5605453	1.6469772	3.4452191	1.7749217	1.4839087	0.5153439	0.2474204	1.2511197	0.9196914	1.6725064	1.408545	1.1327503	3.7542317	1.6978527	1.5007586	4.1210043	3.1643945	3.3551633	2.5354617	4.4147629	4.1608169	3.4724189	4.2842036	4.0401097	3.4608235	3.3197755	3.0729097	1.7749217	1.4839087	1.2511197	0.9196914	0.5153439	1.6725064	1.4730792	1.1451739	2.7747668	2.3463846	1.7440781	3.809969	4.475615	4.4219743	4.1796859	3.4890919	4.3467826	4.2500847	4.1207592	3.976592	3.7761557	3.525374	3.0526347	2.3599135	3.334648	2.6242926	3.6296708	3.1446385	2.3828259	4.0448754	3.4003234	1.9411544	1.8716563	1.750009	1.5345582	1.1709199	0.6091246	0.5902956	0.5605453	1.6469772	1.8961443	1.8466814	1.7749217	1.6543591	1.4839087	0.5153439	0.2474204	1.2511197	1.6725064	1.4107758	1.7434399	1.5420307	1.1327503	1.5007586	1.6978527	3.050695	2.3985621	3.7645949	3.3497681	2.8101389	2.0607035	4.3405979	3.8941005	2.5877153
run2	4.5187397	4.507682	4.475227	4.4181327	4.1768089	3.4706096	4.3417202	4.2466407	4.1187105	3.9761044	3.6268827	3.1230796	2.3890108	3.7852643	3.5239271	3.1363688	2.6362366	1.9341134	3.3627378	2.6417281	4.0464385	3.3960149	1.9419414	1.8707816	1.7447819	1.5307977	1.173047	0.6091647	0.5902513	0.5599859	1.6527755	1.8957848	1.8486683	1.7773502	1.651101	1.4798818	0.5155471	0.2471656	1.2539792	0.9145148	1.6723318	1.4031835	1.7425712	1.5459576	1.1303624	1.5009656	1.7031941	3.0624711	2.3729886	3.7512551	3.3791413	2.833132	2.0659413	4.339852	3.8852957	2.5684437	4.4846123	4.4168005	4.152658	4.2812078	4.035018	3.4589567	3.3086604	3.0758328	1.7773502	1.4798818	0.5155471	1.2539792	0.9145148	1.6723318	1.1303624	1.412941	2.7919402	2.3551537	1.7483625	2.1787601	3.8048412	4.4511225	4.3652398	4.1992955	1.8707816	1.7447819	1.5307977	0.6091647	0.5902513	0.5599859	1.6527755	3.4603145	1.7773502	1.4798818	1.6723318	2.6807854	4.1162049	3.1622732	3.3677249	2.5692997	4.3976859	4.3026227	4.1784851	4.0188274	3.2844687	2.6130469	3.8279912	3.582785	2.9426675	3.2732617	2.6273762	2.8611562	2.3601515	1.6914101	3.2493625	3.8528506	3.2567105	1.8833081	4.507682	4.4846123	4.4511225	4.3976859	4.2999984	4.1568329	3.9126086	3.5721112	3.091655	2.2985481	1.8833081	3.2844687	2.6130469	3.8253343	3.3189991	2.5308225	4.0458289	3.5817851	2.7795478	4.1611559	3.4972299	4.3652398	4.1992955	3.9080629	1.8707816	1.7447819	1.5307977	1.173047	0.6091647	0.5902513	0.5599859	1.6527755	3.4603145	1.7773502	1.4798818	0.5155471	0.2471656	1.2539792	0.9145148	1.6723318	1.3993663	1.1303624	3.729469	1.7031941	1.5009656	4.1039514	3.1622732	3.3677249	2.5692997	4.4168005	4.152658	3.4283088	4.2812078	4.035018	3.4589567	3.3086604	3.0758328	1.7773502	1.4798818	1.2539792	0.9145148	0.5155471	1.6723318	1.4792324	1.1569585	2.7919402	2.3551537	1.7483625	3.8048412	4.475227	4.4181327	4.1768089	3.4706096	4.3417202	4.2466407	4.1187105	3.9761044	3.7852643	3.5239271	3.0384274	2.3345347	3.3627378	2.6417281	3.6268827	3.1230796	2.3890108	4.0464385	3.3960149	1.9419414	1.8707816	1.7447819	1.5307977	1.173047	0.6091647	0.5902513	0.5599859	1.6527755	1.8957848	1.8486683	1.7773502	1.651101	1.4798818	0.5155471	0.2471656	1.2539792	1.6723318	1.4031835	1.7425712	1.5459576	1.1303624	1.5009656	1.7031941	3.0624711	2.3729886	3.7512551	3.3791413	2.833132	2.0659413	4.339852	3.8885681	2.5684437
run3	4.5186674	4.5079314	4.4757874	4.42121	4.1770677	3.496386	4.3441483	4.2505342	4.1230181	3.9714934	3.6325082	3.1402554	2.4063854	3.779006	3.5222001	3.115263	2.6223211	1.9205366	3.3430913	2.6407335	4.0553889	3.3981177	1.939129	1.8684913	1.7468305	1.5200066	1.1588929	0.6091418	0.590249	0.5601652	1.6504389	1.8948895	1.8471143	1.7740306	1.649776	1.4864123	0.5155787	0.2468184	1.2433398	0.9214439	1.6738558	1.3955419	1.7416438	1.5360496	1.1289656	1.4975893	1.6999075	3.0508648	2.3972443	3.7657655	3.3472717	2.8272905	2.0783146	4.3399732	3.8999708	2.5812278	4.484768	4.4160296	4.1500079	4.2838463	4.0329289	3.4581573	3.3037303	3.0805169	1.7740306	1.4864123	0.5155787	1.2433398	0.9214439	1.6738558	1.1289656	1.4061869	2.7907617	2.3379784	1.7322845	2.1980316	3.7943137	4.448279	4.3639887	4.1984445	1.8684913	1.7468305	1.5200066	0.6091418	0.590249	0.5601652	1.6504389	3.4630859	1.7740306	1.4864123	1.6738558	2.6910007	4.1053096	3.1717716	3.3587875	2.5471686	4.3931608	4.306576	4.1824161	4.0187525	3.287724	2.5999789	3.8301445	3.5828262	2.9605636	3.2801958	2.6162539	2.8821283	2.3900117	1.7143497	3.2312101	3.8647705	3.2847596	1.8942835	4.5079314	4.484768	4.448279	4.3931608	4.2968772	4.1495738	3.9156212	3.5605488	3.0709231	2.3163049	1.8942835	3.287724	2.5999789	3.8396293	3.3335081	2.5511101	4.0403855	3.5845616	2.7326603	4.155897	3.5022291	4.3639887	4.1984445	3.914637	1.8684913	1.7468305	1.5200066	1.1588929	0.6091418	0.590249	0.5601652	1.6504389	3.4630859	1.7740306	1.4864123	0.5155787	0.2468184	1.2433398	0.9214439	1.6738558	1.4101558	1.1289656	3.7491762	1.6999075	1.4975893	4.1060586	3.1717716	3.3587875	2.5471686	4.4160296	4.1500079	3.4608678	4.2838463	4.0329289	3.4581573	3.3037303	3.0805169	1.7740306	1.4864123	1.2433398	0.9214439	0.5155787	1.6738558	1.4782522	1.1517702	2.7907617	2.3379784	1.7322845	3.7943137	4.4757874	4.42121	4.1770677	3.496386	4.3441483	4.2505342	4.1230181	3.9714934	3.779006	3.5222001	3.0390632	2.3274724	3.3430913	2.6407335	3.6325082	3.1402554	2.4063854	4.0553889	3.3981177	1.939129	1.8684913	1.7468305	1.5200066	1.1588929	0.6091418	0.590249	0.5601652	1.6504389	1.8948895	1.8471143	1.7740306	1.649776	1.4864123	0.5155787	0.2468184	1.2433398	1.6738558	1.3955419	1.7416438	1.5360496	1.1289656	1.4975893	1.6999075	3.0508648	2.3972443	3.7657655	3.3472717	2.8272905	2.0783146	4.3399732	3.896936	2.5812278
run4	4.5188201	4.508633	4.4751241	4.4210059	4.1771829	3.4784083	4.349201	4.2532034	4.1289035	3.9753538	3.639776	3.1732757	2.385184	3.7793137	3.5142414	3.1258231	2.613262	1.922023	3.3396868	2.6075012	4.0525591	3.3972144	1.9411796	1.8680682	1.7449136	1.5348596	1.1700629	0.6091226	0.590324	0.5603741	1.6452433	1.8956528	1.8470446	1.7734624	1.6495762	1.4834928	0.515341	0.2471732	1.2388747	0.9141206	1.6744123	1.4008745	1.7467855	1.5339596	1.1368399	1.5022159	1.6976975	3.058884	2.4001167	3.7671649	3.3616295	2.822283	2.0687691	4.341761	3.8941131	2.6242276	4.485365	4.4162746	4.1518141	4.2842362	4.0398366	3.4579559	3.3084564	3.0799399	1.7734624	1.4834928	0.515341	1.2388747	0.9141206	1.6744123	1.1368399	1.3932211	2.7798466	2.3512748	1.7026011	2.2001279	3.8118161	4.4497926	4.3604604	4.197402	1.8680682	1.7449136	1.5348596	0.6091226	0.590324	0.5603741	1.6452433	3.441659	1.7734624	1.4834928	1.6744123	2.6592908	4.1127356	3.1610014	3.3903048	2.5599714	4.3963103	4.2983359	4.1797219	4.0189997	3.2783965	2.6125059	3.8198755	3.5814967	2.9458309	3.2755568	2.6113656	2.8673306	2.3564096	1.7059228	3.2262365	3.8635697	3.259996	1.9001541	4.508633	4.485365	4.4497926	4.3963103	4.2936695	4.1523642	3.9150334	3.5633553	3.0888993	2.330095	1.9001541	3.2783965	2.6125059	3.830661	3.350784	2.5382979	4.0330421	3.5794243	2.7477797	4.1581928	3.5126178	4.3604604	4.197402	3.9107894	1.8680682	1.7449136	1.5348596	1.1700629	0.6091226	0.590324	0.5603741	1.6452433	3.441659	1.7734624	1.4834928	0.515341	0.2471732	1.2388747	0.9141206	1.6744123	1.3985097	1.1368399	3.732105	1.6976975	1.5022159	4.1193176	3.1610014	3.3903048	2.5599714	4.4162746	4.1518141	3.4508736	4.2842362	4.0398366	3.4579559	3.3084564	3.0799399	1.7734624	1.4834928	1.2388747	0.9141206	0.515341	1.6744123	1.4750242	1.1545833	2.7798466	2.3512748	1.7026011	3.8118161	4.4751241	4.4210059	4.1771829	3.4784083	4.349201	4.2532034	4.1289035	3.9753538	3.7793137	3.5142414	3.0382433	2.3525981	3.3396868	2.6075012	3.639776	3.1732757	2.385184	4.0525591	3.3972144	1.9411796	1.8680682	1.7449136	1.5348596	1.1700629	0.6091226	0.590324	0.5603741	1.6452433	1.8956528	1.8470446	1.7734624	1.6495762	1.4834928	0.515341	0.2471732	1.2388747	1.6744123	1.4008745	1.7467855	1.5339596	1.1368399	1.5022159	1.6976975	3.058884	2.4001167	3.7671649	3.3616295	2.822283	2.0687691	4.341761	3.8918729	2.6242276
run5	4.5187601	4.5080864	4.4764398	4.4203022	4.1780864	3.4851198	4.3458345	4.2476285	4.1233296	3.9714981	3.6351877	3.1315409	2.3584179	3.772	3.5081587	3.1243268	2.6353911	1.9564792	3.3316056	2.6019565	4.0613618	3.3956304	1.9424425	1.8706164	1.7435967	1.5283267	1.1667892	0.6091105	0.5903209	0.5600155	1.6507923	1.8962916	1.8468504	1.7791185	1.6538393	1.4824868	0.5154749	0.2471693	1.2451819	0.9337537	1.6750377	1.4117173	1.7416981	1.5316014	1.1304782	1.5009496	1.7047376	3.0664976	2.3969671	3.7538849	3.3499564	2.810472	2.087787	4.3388379	3.9009237	2.6124152	4.4853389	4.4184567	4.154553	4.2844155	4.0399947	3.4579499	3.3079484	3.0771656	1.7791185	1.4824868	0.5154749	1.2451819	0.9337537	1.6750377	1.1304782	1.4004468	2.7814604	2.3630292	1.7387618	2.1924624	3.7831481	4.4486005	4.3613683	4.1910838	1.8706164	1.7435967	1.5283267	0.6091105	0.5903209	0.5600155	1.6507923	3.4543695	1.7791185	1.4824868	1.6750377	2.6923884	4.1170386	3.1641571	3.3702756	2.5450396	4.3945672	4.3051766	4.1845275	4.0212036	3.294049	2.5931121	3.813641	3.5722231	2.9323808	3.2778947	2.6086335	2.8633298	2.36737	1.7337378	3.2452336	3.8631063	3.2729186	1.8793531	4.5080864	4.4853389	4.4486005	4.3945672	4.2944875	4.1498256	3.9142129	3.554918	3.0772945	2.3204127	1.8793531	3.294049	2.5931121	3.8390439	3.3386359	2.5444081	4.0325746	3.569589	2.7586783	4.1564035	3.4664981	4.3613683	4.1910838	3.9081132	1.8706164	1.7435967	1.5283267	1.1667892	0.6091105	0.5903209	0.5600155	1.6507923	3.4543695	1.7791185	1.4824868	0.5154749	0.2471693	1.2451819	0.9337537	1.6750377	1.4153724	1.1304782	3.7431961	1.7047376	1.5009496	4.1137306	3.1641571	3.3702756	2.5450396	4.4184567	4.154553	3.4623159	4.2844155	4.0399947	3.4579499	3.3079484	3.0771656	1.7791185	1.4824868	1.2451819	0.9337537	0.5154749	1.6750377	1.4683016	1.1527726	2.7814604	2.3630292	1.7387618	3.7831481	4.4764398	4.4203022	4.1780864	3.4851198	4.3458345	4.2476285	4.1233296	3.9714981	3.772	3.5081587	3.0393059	2.3357597	3.3316056	2.6019565	3.6351877	3.1315409	2.3584179	4.0613618	3.3956304	1.9424425	1.8706164	1.7435967	1.5283267	1.1667892	0.6091105	0.5903209	0.5600155	1.6507923	1.8962916	1.8468504	1.7791185	1.6538393	1.4824868	0.5154749	0.2471693	1.2451819	1.6750377	1.4117173	1.7416981	1.5316014	1.1304782	1.5009496	1.7047376	3.0664976	2.3969671	3.7538849	3.3499564	2.810472	2.087787	4.3388379	3.9124517	2.6124152
run6	4.5187725	4.5082104	4.4759612	4.4200003	4.1830479	3.5133113	4.3468014	4.2500662	4.1298588	3.9732944	3.6425572	3.1305005	2.3803709	3.7844548	3.5290316	3.13593	2.6036017	1.9424621	3.3678108	2.6354232	4.0597997	3.396155	1.9406792	1.8682325	1.7525876	1.5353374	1.161751	0.6091664	0.5903264	0.5607758	1.6490685	1.8958458	1.8484781	1.7760216	1.6533368	1.4758349	0.5154112	0.2473368	1.2541877	0.9170583	1.6726313	1.3967705	1.7455484	1.5378173	1.1306468	1.4995414	1.7030136	3.067888	2.3913964	3.7829578	3.3858774	2.8372115	2.0622626	4.344653	3.9068334	2.5592178	4.4839068	4.4181055	4.157265	4.2859318	4.040604	3.4590455	3.3100694	3.0838493	1.7760216	1.4758349	0.5154112	1.2541877	0.9170583	1.6726313	1.1306468	1.4014953	2.7965867	2.3451439	1.7360919	2.1746528	3.7990173	4.4475551	4.3626964	4.1988561	1.8682325	1.7525876	1.5353374	0.6091664	0.5903264	0.5607758	1.6490685	3.4565408	1.7760216	1.4758349	1.6726313	2.66885	4.1074098	3.1559941	3.347269	2.5056295	4.3964477	4.301962	4.1817033	4.0199369	3.295228	2.5889505	3.8278544	3.5808939	2.9511727	3.2836242	2.6336969	2.88343	2.3884561	1.7120208	3.2395939	3.8575375	3.2688011	1.8757461	4.5082104	4.4839068	4.4475551	4.3964477	4.2973582	4.1478559	3.9058353	3.5342614	3.0607205	2.3091469	1.8757461	3.295228	2.5889505	3.8352145	3.3354149	2.5336505	4.0378714	3.5551976	2.6963253	4.155888	3.4757895	4.3626964	4.1988561	3.9049813	1.8682325	1.7525876	1.5353374	1.161751	0.6091664	0.5903264	0.5607758	1.6490685	3.4565408	1.7760216	1.4758349	0.5154112	0.2473368	1.2541877	0.9170583	1.6726313	1.4056176	1.1306468	3.7457317	1.7030136	1.4995414	4.0989845	3.1559941	3.347269	2.5056295	4.4181055	4.157265	3.4429513	4.2859318	4.040604	3.4590455	3.3100694	3.0838493	1.7760216	1.4758349	1.2541877	0.9170583	0.5154112	1.6726313	1.4703094	1.1381856	2.7965867	2.3451439	1.7360919	3.7990173	4.4759612	4.4200003	4.1830479	3.5133113	4.3468014	4.2500662	4.1298588	3.9732944	3.7844548	3.5290316	3.0389839	2.3465372	3.3678108	2.6354232	3.6425572	3.1305005	2.3803709	4.0597997	3.396155	1.9406792	1.8682325	1.7525876	1.5353374	1.161751	0.6091664	0.5903264	0.5607758	1.6490685	1.8958458	1.8484781	1.7760216	1.6533368	1.4758349	0.5154112	0.2473368	1.2541877	1.6726313	1.3967705	1.7455484	1.5378173	1.1306468	1.4995414	1.7030136	3.067888	2.3913964	3.7829578	3.3858774	2.8372115	2.0622626	4.344653	3.9120225	2.5592178
