mean_t-conc_cb	2.75%CI-conc_cb	97.5%CI-conc_cb	mean_t-conc_notcb	2.75%CI-conc_notcb	97.5%CI-conc_notcb	mean_t-conc_fosscb	2.75%CI-conc_fosscb	97.5%CI-conc_fosscb	mean_t-part_cb	2.75%CI-part_cb	97.5%CI-part_cb	mean_t-part_notcb	2.75%CI-part_notcb	97.5%CI-part_notcb	mean_t-part_fosscb	2.75%CI-part_fosscb	97.5%CI-part_fosscb
t_n314|EMBRYOPHYTA-DUP	475.019	433.47	515.22	473.143	432.74	515.2	476.771	433.74	515.53	473.345	432.98	514.98	473.783	432.67	515.36	474.828	433.18	515.29
t_n340|EMBRYOPHYTA-DUP	475.019	433.47	515.22	473.856	432.87	515.3	476.771	433.74	515.53	473.345	432.98	514.98	473.839	432.66	515.42	474.828	433.18	515.29
t_n404|EMBRYOPHYTA-DUP	475.019	433.47	515.22	474.238	432.97	515.36	476.771	433.74	515.53	473.345	432.98	514.98	472.625	432.57	515.14	474.828	433.18	515.29
t_n430|EMBRYOPHYTA-DUP	475.019	433.47	515.22	472.516	432.68	515.07	476.771	433.74	515.53	473.345	432.98	514.98	473.905	432.78	515.24	474.828	433.18	515.29
t_n471|EMBRYOPHYTA-DUP	475.019	433.47	515.22	468.878	432.26	514.28	476.771	433.74	515.53	473.345	432.98	514.98	470.422	432.34	514.84	474.828	433.18	515.29
t_n284|EUDICOT-MONOCOT	239.882	212.33	256.18	227.291	171.97	252.75	239.562	211.29	256.01	226.858	177.56	251.85	213.92	142.43	250.52	226.587	177.47	251.73
t_n315|EUDICOT-MONOCOT-DUP	239.882	212.33	256.18	213.183	142.9	250.36	239.562	211.29	256.01	226.858	177.56	251.85	201.92	131.33	249.11	226.587	177.47	251.73
t_n341|EUDICOT-MONOCOT-DUP	239.882	212.33	256.18	201.097	133.2	248.69	239.562	211.29	256.01	226.858	177.56	251.85	194.624	129.35	248.14	226.587	177.47	251.73
t_n405|EUDICOT-MONOCOT-DUP	239.882	212.33	256.18	217.631	154.12	250.66	239.562	211.29	256.01	226.858	177.56	251.85	217.545	152.77	250.68	226.587	177.47	251.73
t_n472|EUDICOT-MONOCOT-DUP	239.882	212.33	256.18	205.531	137.23	249.04	239.562	211.29	256.01	226.858	177.56	251.85	203.57	133.89	249.1	226.587	177.47	251.73
t_n287|RHODOPHYTA	1050.29	903.1	1202.52	994.701	604.85	1323.33	1035.979	710.89	1321.63	1088.708	935.21	1246.35	1163.998	838.26	1461.97	1137.356	844.01	1383.04
t_n318|RHODOPHYTA-DUP	1050.29	903.1	1202.52	1111.127	806.84	1454.58	1283.273	942.9	1512.11	1088.708	935.21	1246.35	1108.017	607.9	1556.74	1234.712	814.72	1510.79
t_n344|RHODOPHYTA-DUP	1050.29	903.1	1202.52	851.844	449.76	1384.3	893.62	435.34	1322.77	1088.708	935.21	1246.35	694.878	221.37	1389.04	750.364	234.33	1327.34
t_n408|RHODOPHYTA-DUP	1050.29	903.1	1202.52	1047.396	690.32	1398.59	1092.379	767.42	1364.88	1088.708	935.21	1246.35	999.6	605.38	1361.39	1141.076	802.72	1406.63
t_n431|RHODOPHYTA-DUP	1050.29	903.1	1202.52	1023.087	771.04	1353.59	1177.57	896.68	1408.55	1088.708	935.21	1246.35	1034.751	776.12	1321.38	1184.65	920.18	1409.09
t_n475|RHODOPHYTA-DUP	1050.29	903.1	1202.52	989.89	608.54	1313.79	1090.626	750.16	1369.55	1088.708	935.21	1246.35	1036.903	707.63	1359.51	1148.675	809.76	1418.08
t_n292|FORAMINIFERA	753.839	569.35	961.83	804.779	551.8	1092.89	805.445	595.2	1032.18	754.338	575.92	952.28	795.234	543.48	1096.31	796.141	600.24	1008.42
t_n413|FORAMINIFERA-DUP	753.839	569.35	961.83	1043.656	712.38	1433.15	805.445	595.2	1032.18	754.338	575.92	952.28	1069.599	718.98	1450.42	796.141	600.24	1008.42
t_n480|FORAMINIFERA-DUP	753.839	569.35	961.83	743.927	534.69	1021.21	805.445	595.2	1032.18	754.338	575.92	952.28	704.078	529.71	977.43	796.141	600.24	1008.42
t_n294|HEIMDAL	2147.608	1814.02	2457.6	2127.418	1681.23	2496.19	2391.32	1989.54	2710.65	2234.122	1949.81	2500.02	2376.583	2025.34	2704.07	2487.671	2145.38	2762.92
t_n482|HEIMDAL-DUP	2147.608	1814.02	2457.6	1663.919	1220.04	2056.8	2011.351	1458.66	2456.57	2234.122	1949.81	2500.02	1784.969	1460.04	2110.2	2105.345	1683.44	2472.72
t_n296|ASGARD	2490.255	2183.37	2776.86	2295.577	1789.21	2669.73	2593.542	2167.51	2930.22	2602.475	2292.5	2863.78	2624.458	2249.34	2991.72	2796.361	2438.5	3075.72
t_n484|ASGARD-DUP	2490.255	2183.37	2776.86	2167.389	1719.33	2513.89	2581.786	2137.6	2938.42	2602.475	2292.5	2863.78	2112.723	1644.51	2488.86	2464.214	1941.61	2843.76
t_n304|LBCA	3362.518	3220.7	3534.2	3495.194	3257.2	3743.03	3539.222	3317.35	3786.33	3234.564	3131.13	3357.81	3396.569	3208.2	3606.39	3393.446	3222.24	3585.82
t_n369|LBCA-DUP	3362.518	3220.7	3534.2	3194.198	3065.79	3398.87	3430.61	3216.23	3687.55	3234.564	3131.13	3357.81	3080.215	2994.76	3218.41	3219.756	3082.68	3390.47
t_n308|TG-OXYPHOTOBACTERIA	2985.231	2946.07	3087.4	3070.662	2948.4	3249.83	3001.111	2946.58	3136.82	2969.757	2945.64	3034.17	3048.309	2951.42	3166.49	2974.694	2945.74	3050.24
t_n422|TG-OXYPHOTOBACTERIA-DUP	2985.231	2946.07	3087.4	2983.573	2945.84	3110.14	3001.111	2946.58	3136.82	2969.757	2945.64	3034.17	2966.737	2945.51	3031.46	2974.694	2945.74	3050.24
t_n309|CG-OXYPHOTOBACTERIA	2128.849	1956.9	2391.43	2190.746	1951.93	2597.39	2272.274	2024.8	2557.74	2070.134	1926.81	2269.99	2113.596	1932.32	2426.87	2145.234	1979.13	2376.07
t_n423|CG-OXYPHOTOBACTERIA-DUP	2128.849	1956.9	2391.43	2252.742	1980.19	2623.68	2272.274	2024.8	2557.74	2070.134	1926.81	2269.99	2140.762	1954.33	2442.96	2145.234	1979.13	2376.07
t_n328|LECA	2280.839	1982.6	2618.75	2329.609	1883.05	2881.37	2459.036	2076.7	2933.49	2236.688	1935.55	2571.04	2468.681	1999.09	2981.35	2489.031	2059.15	2999.55
t_n390|LECA-DUP	2280.839	1982.6	2618.75	2344.621	2026.37	2703	2565.713	2193.65	2971.92	2236.688	1935.55	2571.04	2288.11	1963.65	2605.81	2443.227	2114.31	2783.53
t_n329|TG-EUKARYA-MITO	1851.98	1634.36	2105.92	2014.764	1625.62	2537.73	2064.825	1807.18	2366.75	1829.182	1597.11	2111.17	2179.766	1704.36	2701.96	2038.102	1781	2333.61
t_n391|TG-EUKARYA-MITO-DUP	1851.98	1634.36	2105.92	1936.927	1660.29	2246.38	2064.825	1807.18	2366.75	1829.182	1597.11	2111.17	1902.065	1630.27	2197.96	2038.102	1781	2333.61
